資料名,編著者,標記年/刊行年,作成機関/出版者,大きさ,備考,五十年史番号,目録番号,区分1,区分2,画像注記,区分3,正副,内容注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:creator,dcterms:date,dcterms:publisher,dcterms:extent,archiveshub:note,fnenshi:fnenshiNumber,fnenshi:catalogNumber,fnenshi:categoy1,fnenshi:categoy2,fnenshi:imageNote,fnenshi:categoy3,fnenshi:duplicate,fnenshi:contentNote,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,31437
諸達部類  巻ノ一  従明治元年戌辰九月至明治三年庚午十月,,明治元年9月~明治3年10月 (1868~1870),大学南校,255×187,重要文化財,125,5,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/89962598-0839-1ee0-86f0-9c721f994b0d.json,89962598-0839-1ee0-86f0-9c721f994b0d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/89962598-0839-1ee0-86f0-9c721f994b0d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/abd95a084fbfd1397665c88487ba0239bc87a368.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482124,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,253,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/89962598-0839-1ee0-86f0-9c721f994b0d/manifest,,,,,96
旧幕臣在職姓名調  明治二年六月,,明治2年6月~明治2年6月 (1869~1869),医学校,268×188,重要文化財,126,99,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/552e47ff-84f7-1520-414f-f1863a0d8c52.json,552e47ff-84f7-1520-414f-f1863a0d8c52,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/552e47ff-84f7-1520-414f-f1863a0d8c52,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a0499d19eed1db0f8e3bdf3d7324a16318e50e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482125,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,254,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/552e47ff-84f7-1520-414f-f1863a0d8c52/manifest,,,,,38
身分留  巻之拾三 明治二年正月,,明治2年正月~明治2年6月 (1869~1869),開成学校,258×188,重要文化財,128,9,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/27f66e00-39ea-9466-77b2-d0d83f74581e.json,27f66e00-39ea-9466-77b2-d0d83f74581e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/27f66e00-39ea-9466-77b2-d0d83f74581e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e36cfc2cdf1dca225abf328a242d3a5845cd9e20.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482126,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,257,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/27f66e00-39ea-9466-77b2-d0d83f74581e/manifest,,,,,74
照準書  明治十年七月ヨリ同十二年七月マテ,,明治10年7月~明治12年7月 (1877~1879),,269×193,重要文化財,129,215,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c2375bf8-47be-9aca-9270-c8ab955401a8.json,c2375bf8-47be-9aca-9270-c8ab955401a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/c2375bf8-47be-9aca-9270-c8ab955401a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca81f5b62b2488689bde26d689f4ec9b7df87b40.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482127,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,258,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c2375bf8-47be-9aca-9270-c8ab955401a8/manifest,,,,,88
請願書  [明治四十三年],,明治43年3月~明治43年3月 (1910~1910),,270×193,重要文化財,130,301,I史料,1.東京大学関係,,1-3 その他(主に明治19年以降のもの),正本,[本郷通電車敷設に対し東京帝国大学が反対した請願書],http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43589d4e-6467-65b1-0fd3-a589d9863c22.json,43589d4e-6467-65b1-0fd3-a589d9863c22,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/43589d4e-6467-65b1-0fd3-a589d9863c22,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/489268be0a8144ebc13b51773e387fa4bc670fec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482128,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,259,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/43589d4e-6467-65b1-0fd3-a589d9863c22/manifest,,,,,70
病気届  明治七年三月ヨリ十二月マテ,,明治7年3月~明治7年12月 (1874~1874),,269×194,重要文化財,131,160,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a64d452c-4130-36f1-9758-46130b843afc.json,a64d452c-4130-36f1-9758-46130b843afc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a64d452c-4130-36f1-9758-46130b843afc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aefe42c9f4fb76634778c7860dc5709e7f4cf860.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482129,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,260,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a64d452c-4130-36f1-9758-46130b843afc/manifest,,,,,125
受業料減省願  [明治五~七年],,明治5年11月~明治7年10月 (1872~1874),東京医学校,268×189,重要文化財,132-2,127,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e2226b6c-626f-5bcd-818e-1a8b787d8ac8.json,e2226b6c-626f-5bcd-818e-1a8b787d8ac8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/e2226b6c-626f-5bcd-818e-1a8b787d8ac8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482130,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,262,,,,,,,0
台湾樹株調査報告/台湾林産調査復命書/台湾探検旅行報告書,本多・守屋・河合農科大学助教授,明治30年3月~明治31年7月 (1897~1898),,260×190,重要文化財,133,432,II刊本,4.その他,,,正本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9fc24598-73c9-53ac-5fea-1a4b2c18152b.json,9fc24598-73c9-53ac-5fea-1a4b2c18152b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9fc24598-73c9-53ac-5fea-1a4b2c18152b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e322a0e545ef0a25b533b26aba1097f1df291f6f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482131,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,263,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9fc24598-73c9-53ac-5fea-1a4b2c18152b/manifest,,,,,252
南校往復  明治四年十月,,明治4年10月~明治4年12月 (1871~1871),,268×190,重要文化財,134,208,I史料,1.東京大学関係,,1-1 東京大学前史,副本,東校と南校の往復文書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/264b9769-70e4-02da-3f0e-d9002ea065d4.json,264b9769-70e4-02da-3f0e-d9002ea065d4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/264b9769-70e4-02da-3f0e-d9002ea065d4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eee3813694bbf310241455a2a601d27eed3c626c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482132,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,264,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/264b9769-70e4-02da-3f0e-d9002ea065d4/manifest,,,,,14
願伺届  明治五年壬申正月ヨリ十二月ニ至ル,,明治5年正月~明治5年12月 (1872~1872),第一大学区医学校,268×186,重要文化財,139,128,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56b6ed08-39ff-3acf-6f4e-69a016093985.json,56b6ed08-39ff-3acf-6f4e-69a016093985,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/56b6ed08-39ff-3acf-6f4e-69a016093985,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bd94ea4573c199c2070dc27c1ba11b5d8618588d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482133,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,269,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56b6ed08-39ff-3acf-6f4e-69a016093985/manifest,,,,,289
諸達[控]  明治九年一月ヨリ十年十二月マテ,,明治9年1月~明治10年12月 (1876~1877),東京大学医学部,267×194,重要文化財,140,198,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f8a77ec2-1868-3a1d-8b02-36a1258a2106.json,f8a77ec2-1868-3a1d-8b02-36a1258a2106,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/f8a77ec2-1868-3a1d-8b02-36a1258a2106,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0500dd5504acab870a020031acfc4cec2acfb6c6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482134,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,270,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f8a77ec2-1868-3a1d-8b02-36a1258a2106/manifest,,,,,51
御布告達簿  明治九年明治九年一月ヨリ同十年十二月マテ,,明治9年1月~明治10年9月 (1876~1877),,268×193,重要文化財,141,295,I史料,1.東京大学関係,,1-3 その他(主に明治19年以降のもの),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5114b362-6b7f-a689-56d2-0747fa3230f8.json,5114b362-6b7f-a689-56d2-0747fa3230f8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/5114b362-6b7f-a689-56d2-0747fa3230f8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7cc2407b9f79f60b70db766b396bd52775972c3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482135,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,271,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5114b362-6b7f-a689-56d2-0747fa3230f8/manifest,,,,,76
文部省等布告及布達  明治五年分弐冊之内乙号,,明治5年1月~明治5年11月 (1872~1872),,266×188,重要文化財,142,43,I史料,1.東京大学関係,,1-1 東京大学前史,正本,中に「教師層入條約規則書」、「准刻書目」、「学制」等の原資料あり,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a6ba7dd6-3126-0cac-38ca-6c3be37c44c3.json,a6ba7dd6-3126-0cac-38ca-6c3be37c44c3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a6ba7dd6-3126-0cac-38ca-6c3be37c44c3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1ee305a2f6f972e5dfc8e396cb18db5a6d6afbd0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482136,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,272,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a6ba7dd6-3126-0cac-38ca-6c3be37c44c3/manifest,,,,,365
諸達[控]  明治五年七月ヨリ同六年十二月迄,,明治5年7月~明治6年12月 (1872~1873),第一大学区医学校,267×190,重要文化財,143,129,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6ec43bf6-4209-3a3e-9ce3-1dd958f7370b.json,6ec43bf6-4209-3a3e-9ce3-1dd958f7370b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/6ec43bf6-4209-3a3e-9ce3-1dd958f7370b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/396efbf81e03db3a1c0d66ded15d7cef44121ad4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482137,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,273,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6ec43bf6-4209-3a3e-9ce3-1dd958f7370b/manifest,,,,,178
布告達書  明治四年二冊之内乙号,,明治4年1月~明治4年12月 (1871~1871),,265×187,重要文化財,144,34,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,正本,折れが多い,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6d9bd48b-6f60-4cd8-442f-89ec1ea49a96.json,6d9bd48b-6f60-4cd8-442f-89ec1ea49a96,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/6d9bd48b-6f60-4cd8-442f-89ec1ea49a96,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482138,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,274,,,,,,,0
学事願伺届達回答  明治九年中,,明治9年1月~明治9年12月 (1876~1876),東京医学校,263×293,重要文化財,146-3,166,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9870e6f6-4d95-3d57-77ac-661c757954f8.json,9870e6f6-4d95-3d57-77ac-661c757954f8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9870e6f6-4d95-3d57-77ac-661c757954f8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482139,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,280,,,,,,,0
学事願伺届達回答  明治十年中,,明治10年1月~明治10年12月 (1877~1877),東京大学医学部,263×293,重要文化財,146-4,167,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7cca93b3-3951-a25c-5b92-f3e78c6c5988.json,7cca93b3-3951-a25c-5b92-f3e78c6c5988,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/7cca93b3-3951-a25c-5b92-f3e78c6c5988,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482140,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,281,,,,,,,0
学事伺済  明治六年ヨリ同八年十二月マテ,,明治6年11月~明治8年12月 (1873~1875),東京医学校,266×192,重要文化財,147,135,I史料,1.東京大学関係,,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e984c7c7-0eca-2664-a5a3-06fb494e49ee.json,e984c7c7-0eca-2664-a5a3-06fb494e49ee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/e984c7c7-0eca-2664-a5a3-06fb494e49ee,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a58f93d1741f1d7840d877425d12a3f734f471fe.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482141,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,282,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e984c7c7-0eca-2664-a5a3-06fb494e49ee/manifest,,,,,85
本省届  明治十一年中,,明治11年1月~明治11年12月 (1878~1878),東京大学医学部,268×193,重要文化財,149-1,259,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d6750a6-6259-881f-4caa-2cf8b5efa230.json,8d6750a6-6259-881f-4caa-2cf8b5efa230,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8d6750a6-6259-881f-4caa-2cf8b5efa230,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6c39c7808a73f38c15097258c04496cdcbaf9b2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482142,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,284,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d6750a6-6259-881f-4caa-2cf8b5efa230/manifest,,,,,141
本省届  明治十二年一月ヨリ同十二月ニ至ル,,明治12年1月~明治12年12月 (1879~1879),東京大学医学部,268×193,重要文化財,149-2,260,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bd2d846e-811a-7afe-63c8-0a7c15c65fa7.json,bd2d846e-811a-7afe-63c8-0a7c15c65fa7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/bd2d846e-811a-7afe-63c8-0a7c15c65fa7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/809e2d510d95a14fb6a3192df9c2b7625f74f3af.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482143,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,285,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bd2d846e-811a-7afe-63c8-0a7c15c65fa7/manifest,,,,,147
本省届  明治十三年,,明治13年1月~明治13年12月 (1880~1880),東京大学医学部,268×193,重要文化財,149-3,261,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1596f4fe-9e18-2061-9266-d587c7551832.json,1596f4fe-9e18-2061-9266-d587c7551832,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/1596f4fe-9e18-2061-9266-d587c7551832,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0147a0417fc324ee9d0dbf754a05598195257d58.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482144,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,286,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1596f4fe-9e18-2061-9266-d587c7551832/manifest,,,,,102
文部省准允  明治十四年分,,明治14年7月~明治14年11月 (1881~1881),東京大学,263×190,重要文化財,150,291,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/332295ce-6c16-110d-79c9-905c68c150b5.json,332295ce-6c16-110d-79c9-905c68c150b5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/332295ce-6c16-110d-79c9-905c68c150b5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/adda135f829ad498a64d6be482119ae4a9b265b2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482145,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,287,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/332295ce-6c16-110d-79c9-905c68c150b5/manifest,,,,,92
往復簿  明治十一年一月ヨリ三月ニ至ル,,明治11年1月~明治11年3月 (1878~1878),東京大学医学部,268×193,重要文化財,151,262,I史料,1.東京大学関係,画像なし,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c9e54e6d-8195-0ee7-875a-c8117eb064d6.json,c9e54e6d-8195-0ee7-875a-c8117eb064d6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/c9e54e6d-8195-0ee7-875a-c8117eb064d6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482146,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,288,,,,,,,0
往復簿  明治十二年四月ヨリ同六月マテ,,明治12年4月~明治12年6月 (1879~1879),東京大学医学部,267×193,重要文化財,152,269,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d945a914-794d-8675-4fee-36bf4c2f43e7.json,d945a914-794d-8675-4fee-36bf4c2f43e7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/d945a914-794d-8675-4fee-36bf4c2f43e7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482147,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,289,,,,,,,0
