タイトル／Title,タイトル／Title,巻号タイトル／Volume Title,作成者／Creator,公開者／Publisher,出版地・頒布地／Publication Place,出版年/Year,発行日／Issued Data,言語／Language,主題／Subject,所蔵先／Source,請求記号／Call Number,貢献者／Contributor,公開日／Date,概要,Material Type,付加的記載,装訂,請求記号,著作の構成,バージョンの成立時期,著作の時期,大きさ（縦×横）,バージョンの行字数,出所,数量,登録番号,印記,資料化の技法,バージョンの技法,データのタイトル,著作のタイトル,バージョンの成立年,著作の年,バージョンの大きさ（縦×横）,データの識別子,Series Title,状態,外題,バージョンの成立場所,参考文献,バージョンの責任,著作の責任,原簿番号,資料化の時期,資料化の年,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:alternative,dcndl:volumeTitle,dcterms:creator,dcterms:publisher,dcndl:publicationPlace,uterms:year,dcterms:issued,dcterms:language,dcterms:subject,dcterms:source,dcndl:callNumber,dcterms:contributor,dcterms:available,dcterms:description,dcndl:materialType,uparl:additionalDescription,uparl:bibliopegy,uparl:callNumber,uparl:constitutionOfTheWork,uparl:dateOfTheVersion,uparl:dateOfTheWork,uparl:dimensions,uparl:linageOfTheVersion,uparl:provenance,uparl:quantity,uparl:registrationNumber,uparl:seal,uparl:techniqueOfTheMaterialization,uparl:techniqueOfTheVersion,uparl:titleOfTheData,uparl:titleOfTheWork,uparl:yearOfTheVersion,uparl:yearOfTheWork,uparl:dimensionsOfTheVersion,uparl:identifierOfTheData,dcndl:seriesTitle,uparl:condition,uparl:externalTitle,uparl:placeOfTheVersion,uparl:reference,uparl:responsibilityOfTheVersion,uparl:responsibilityOfTheWork,uparl:ledgerNumber,uparl:dateOfTheMaterialization,uparl:yearOfTheMaterialization,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,20214
新刻全像水滸傳 二十五巻一百十五回 [特;雙紅堂:小説:122-08],,,,,,,,,,,,,,中国明時代に刊刻、印刷された『水滸伝』。東洋文化研究所雙紅堂文庫蔵。,,毎半葉に図1枚あり(嵌図形式)。上部框郭外に横八文字の図題を附す。,"線装,四針眼釘法",特:雙紅堂:小説:122-1~122-8,25巻,(中国)明後期,明代,24.7×14.1cm,毎半葉15行、両端各2行(上部に図のない部分)は行35字、中央11行(図のある部分)は行27字。,東京大学東洋文化研究所雙紅堂文庫蔵,8冊,"6403832493,640383250,6403832519,6403832527,6403832535,6403832543,6403832550,6403832568","東洋文化研究所図書印, 南氏文庫印,士倫曽蔵印,雙紅堂印,静盦蔵書印",,木版,新刻全像水滸伝巻二十五巻一百十五回 Xinke Quanxiang Shuihuzhuan 25juan115hui  新刻全像水滸傳二十五巻一百十五回    新刻全像水浒传二十五卷一百十五回,"(巻首題)新刻全像水滸傳,(目首題)鼎鐫全像水滸忠義志傳目録,(版心題)全像水滸傳",1567-1644年,,(内框)21.6×12.1cm,特;雙紅堂:小説:122-1~122-8,,"千葉掬香旧蔵。長澤規矩也旧蔵。破損あり,裏打修補あり,墨筆書き入れあり。",水滸傳,建陽(福建),"馬場昭佳「『新刻水滸傳』解題」,『東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門(U-PARL)2020−2021年度協働型アジア研究「東京大学所蔵水滸伝諸版本に関する研究」成果報告集』所収。",(明)富沙劉興我梓行,(元)施耐菴編輯,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/84abbb5e-5189-8944-7e7b-4df3eac64083.json,84abbb5e-5189-8944-7e7b-4df3eac64083,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/84abbb5e-5189-8944-7e7b-4df3eac64083,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aa3a62032fcc6093b5377da6a72ad7d3714d9fdd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1179416,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/84abbb5e-5189-8944-7e7b-4df3eac64083/manifest,,,,,58
水滸傳全本 三十巻 [漢籍:D(貴重書)-00],,,,,,,,,,,,,,中国明時代に刊刻、清時代に補刻、印刷された『水滸伝』。文学部蔵。,,首冊に図20葉あり。,"線装,四針眼釘法",漢籍:D(貴重書),30巻,(中国)清前期,明後期,25.0×16.1cm,毎半葉10行、行20字,"幸田露伴旧蔵, 東京大学文学部所蔵",12冊,"4803777103,4803777111,4803777129,4803777137,4803777145,4803777152,4803777160,4803777178,4803777186,4803777194,4803777202,4803777210","東京帝国大学図書印, 東京帝国大学附属図書館印,有水可漁印,鮮碧山房印",,木版,水滸伝全本三十巻 ShuihuzhuanQuanben 30juan  水滸傳全本三十卷    水浒传全本三十卷,"(巻首題,版心題)水滸傳全本,(目首題)金聖歎評水滸全傳,(序首題)水滸全傳,(封面題)施耐菴原本李卓吾先生評水滸全傳",1644-1735年,1567-1644,(内框)20.4×12.8cm,漢籍:D(貴重書),,"破損あり,裏打修補あり,墨筆書き入れあり",水滸傳,蘇州,"氏岡真士「三十巻本『水滸伝』について」(『日本中国学会報』第六十三集,2011年)、佐髙春音「『水滸傳全本』(文学部蔵本)解題」,『東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門(U-PARL)2020−2021年度協働型アジア研究「東京大学所蔵水滸伝諸版本に関する研究」成果報告集』所収。",金閶映雪草堂藏板,"(元)施耐菴編,(明)李卓吾評點",,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/12fac4ea-9cfd-1f46-641f-c83f5a6e3d33.json,12fac4ea-9cfd-1f46-641f-c83f5a6e3d33,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/12fac4ea-9cfd-1f46-641f-c83f5a6e3d33,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/89759c17e7a4f7325fefd432530dd0983f085bf2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1179417,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/12fac4ea-9cfd-1f46-641f-c83f5a6e3d33/manifest,,,,,8
水滸傳全本 三十巻 [漢籍:D(貴重書)-01],,,,,,,,,,,,,,中国明時代に刊刻、清時代に補刻、印刷された『水滸伝』。文学部蔵。,,首冊に図20葉あり。,"線装,四針眼釘法",漢籍:D(貴重書),30巻,(中国)清前期,明後期,25.0×16.1cm,毎半葉10行、行20字,"幸田露伴旧蔵, 東京大学文学部所蔵",12冊,"4803777103,4803777111,4803777129,4803777137,4803777145,4803777152,4803777160,4803777178,4803777186,4803777194,4803777202,4803777210","東京帝国大学図書印, 東京帝国大学附属図書館印,有水可漁印,鮮碧山房印",,木版,水滸伝全本三十巻 ShuihuzhuanQuanben 30juan  水滸傳全本三十卷    水浒传全本三十卷,"(巻首題,版心題)水滸傳全本,(目首題)金聖歎評水滸全傳,(序首題)水滸全傳,(封面題)施耐菴原本李卓吾先生評水滸全傳",1644-1735年,1567-1644,(内框)20.4×12.8cm,漢籍:D(貴重書),,"破損あり,裏打修補あり,墨筆書き入れあり",水滸傳,蘇州,"氏岡真士「三十巻本『水滸伝』について」(『日本中国学会報』第六十三集,2011年)、佐髙春音「『水滸傳全本』(文学部蔵本)解題」,『東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門(U-PARL)2020−2021年度協働型アジア研究「東京大学所蔵水滸伝諸版本に関する研究」成果報告集』所収。",金閶映雪草堂藏板,"(元)施耐菴編,(明)李卓吾評點",,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1c1e357b-88a7-7dc0-805b-e1a9f17a79a6.json,1c1e357b-88a7-7dc0-805b-e1a9f17a79a6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/1c1e357b-88a7-7dc0-805b-e1a9f17a79a6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/661ad3980caa3b7c65abf7bf19b176f36c0b2363.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1179418,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1c1e357b-88a7-7dc0-805b-e1a9f17a79a6/manifest,,,,,81
Hieratische Paläographie. Band 1,Hieratische Paläographie. Die aegyptische Buchschrift in ihrer Entwicklung von der fünften Dynastie bis zur römischen Kaiserzeit,Erster Band. Bis zum Beginn der achtzehnten Dynastie. Mit Neuen Tafeln Schriftproben,"Möller, George",J. C. Hinrich,Leipzig,,1909,ger,"LCSH:Egyptian language -- Writing, Hieratic","東京大学アジア研究図書館 / Asian Research Library, the University of Tokyo",6 W:800 X:mol 1,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",2020-01-16,古代エジプト神官文字(ヒエラティック)の字典.第1巻.第18王朝初頭まで.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4a1fbed0-f2a2-4cf5-8a0a-fa310c62ca50.json,4a1fbed0-f2a2-4cf5-8a0a-fa310c62ca50,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/4a1fbed0-f2a2-4cf5-8a0a-fa310c62ca50,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3dfab77a46a919081597ec808348d22bae27a3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415071,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,1-1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4a1fbed0-f2a2-4cf5-8a0a-fa310c62ca50/manifest,,,,,116
Hieratische Paläographie. Band 2,Hieratische Paläographie. Die aegyptische Buchschrift in ihrer Entwicklung von der fünften Dynastie bis zur römischen Kaiserzeit,Zweiter Band. Von der Zeit Thutmosis' III bis zur ende der einundzwanzigsten Dynastie. Mit Acht Tafeln Schriftproben,"Möller, George",J. C. Hinrich,Leipzig,,1909,ger,"LCSH:Egyptian language -- Writing, Hieratic","東京大学アジア研究図書館 / Asian Research Library, the University of Tokyo",6 W:800 X:mol 2,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",2020-01-16,古代エジプト神官文字(ヒエラティック)の字典.第2巻.トトメス3世時代から21王朝時代まで.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56653a59-0d55-4d1a-a7e3-2242e02859a1.json,56653a59-0d55-4d1a-a7e3-2242e02859a1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/56653a59-0d55-4d1a-a7e3-2242e02859a1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1947792946c7463b68889f069bdfe3264c6affcc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415072,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,1-2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56653a59-0d55-4d1a-a7e3-2242e02859a1/manifest,,,,,105
Hieratische Paläographie. Band 3,Hieratische Paläographie. Die aegyptische Buchschrift in ihrer Entwicklung von der fünften Dynastie bis zur römischen Kaiserzeit,Von der zweiundzwanzigsten Dynastie bis zum dritten Jahrhundert nach Chr. Mit Elf Tafeln Schriftproben.,"Möller, George",J. C. Hinrich,Leipzig,,1912,ger,"LCSH:Egyptian language -- Writing, Hieratic","東京大学アジア研究図書館 / Asian Research Library, the University of Tokyo",6 W:800 X:mol 3,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",2020-01-16,古代エジプト神官文字(ヒエラティック)の字典.第3巻.22王朝時代から紀元後3世紀まで.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8aaa203c-1c5a-4fef-973b-4fb174d60d37.json,8aaa203c-1c5a-4fef-973b-4fb174d60d37,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/8aaa203c-1c5a-4fef-973b-4fb174d60d37,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/487f2db505d330317b00463eeba96b9bb9b2cff8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415073,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,1-3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8aaa203c-1c5a-4fef-973b-4fb174d60d37/manifest,,,,,106
Hieratische Paläographie. Ergänzungsheft.,Hieratische Paläographie. Die aegyptische Buchschrift in ihrer Entwicklung von der fünften Dynastie bis zur römischen Kaiserzeit,Ergänzungsheft zu Band I und II. Fünfzehn Neuen Tafeln Schriftproben,"Möller, George",J. C. Hinrich,Leipzig,,1936,ger,"LCSH:Egyptian language -- Writing, Hieratic","東京大学アジア研究図書館 / Asian Research Library, the University of Tokyo",6 W:800 X:mol 4,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",2020-01-16,古代エジプト神官文字(ヒエラティック)の字典.第1巻と第2巻の補遺.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e6b9e19f-bad7-4268-8be5-d58f296ebca3.json,e6b9e19f-bad7-4268-8be5-d58f296ebca3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/e6b9e19f-bad7-4268-8be5-d58f296ebca3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/888d27c2898317d69f8e9a9131ab5ec8c056a8b1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415074,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,1-4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6b9e19f-bad7-4268-8be5-d58f296ebca3/manifest,,,,,21
Denkmaeler aus Aegypten und Aethiopien. Band 1,"Denkmaeler aus Aegypten und Aethiopien nach den zeichnungen der von Seiner Majestaet dem koenige von Preussen Friedrich Wilhelm IV nach diesen laendern gesendeten und in den jahren 1842-1845 ausgefuehrten wissenschaftlichen Expedition, auf Befehl seiner Majestaet","Band I. Erste Abtheilung, Topographie und Archtecture, Blatt I-LXVI","Lepsius, Richard|herausgegeben und erlaeutert von C.R. Lepsius",Nicolaische Buchhandlung,Berlin,,[1849]-[1859],ger,"Ancient Egypt -- Art and archaeology  Egyptian language -- Inscriptions
Tombs -- Ancient Egypt 
Temples -- Ancient Egypt
Nubia -- Art and archaeology 
Temples -- Nubia","東京大学総合図書館/The General Library, the University of Tokyo",BG:222:1-2,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,"カール・リヒャルト・レプシウス『エジプトおよびエチオピアの記念碑』.古代エジプト文明の記念碑に対する科学的記録を得るために,1842年から45年にかけてプロイセン王フリードリヒ・ヴィルヘルム4世によって派遣された調査団(団長カール・リヒャルト・レプシウス)による学術成果報告.第1巻.第1部:地形と建築.図版:1-61.「大蔵省賠償金特別会計所属図書」,「東京帝国大学図書印」の印有り.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7732533f-1c48-1a2d-72e5-cfd001a0413d.json,7732533f-1c48-1a2d-72e5-cfd001a0413d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/7732533f-1c48-1a2d-72e5-cfd001a0413d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b1c33a34e741fc05f6825f5963704f3317340c9c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1176825,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,2-1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7732533f-1c48-1a2d-72e5-cfd001a0413d/manifest,,,,,75
Denkmaeler aus Aegypten und Aethiopien. Band 10,"Denkmaeler aus Aegypten und Aethiopien nach den zeichnungen der von Seiner Majestaet dem koenige von Preussen Friedrich Wilhelm IV nach diesen laendern gesendeten und in den jahren 1842-1845 ausgefuehrten wissenschaftlichen Expedition, auf Befehl seiner Majestaet","Band X. Fünfte Abtheilung, Aethiopische Denkmaeler. Blatt I-LXXV","Lepsius, Richard|herausgegeben und erlaeutert von C.R. Lepsius",Nicolaische Buchhandlung,Berlin,,[1849]-[1859],ger,"Ancient Egypt -- Art and archaeology  Egyptian language -- Inscriptions
Tombs -- Ancient Egypt 
Temples -- Ancient Egypt
Nubia -- Art and archaeology 
Temples -- Nubia","東京大学総合図書館/The General Library, the University of Tokyo",BG:222:9-10,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,"カール・リヒャルト・レプシウス『エジプトおよびエチオピアの記念碑』.古代エジプト文明の記念碑に対する科学的記録を得るために,1842年から45年にかけてプロイセン王フリードリヒ・ヴィルヘルム4世によって派遣された調査団(団長カール・リヒャルト・レプシウス)による学術成果報告.第10巻.第5部:エチオピアの記念碑.図版:1-75.「大蔵省賠償金特別会計所属図書」印有り.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ac0fd86a-4893-7763-4bc4-2fb6faf3456a.json,ac0fd86a-4893-7763-4bc4-2fb6faf3456a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/ac0fd86a-4893-7763-4bc4-2fb6faf3456a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/363a2e902c82356b14f445881f2d789c942f76b3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1176834,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,2-10,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac0fd86a-4893-7763-4bc4-2fb6faf3456a/manifest,,,,,80
Denkmaeler aus Aegypten und Aethiopien. Band 11,"Denkmaeler aus Aegypten und Aethiopien nach den zeichnungen der von Seiner Majestaet dem koenige von Preussen Friedrich Wilhelm IV nach diesen laendern gesendeten und in den jahren 1842-1845 ausgefuehrten wissenschaftlichen Expedition, auf Befehl seiner Majestaet","Band XI. Sechste Abtheilung, Inschriften mit Ausschluss der Hieroglyphischen. Blatt I-LXIX","Lepsius, Richard|herausgegeben und erlaeutert von C.R. Lepsius",Nicolaische Buchhandlung,Berlin,,[1849]-[1859],ger,"Ancient Egypt -- Art and archaeology  Egyptian language -- Inscriptions
Tombs -- Ancient Egypt 
Temples -- Ancient Egypt
Nubia -- Art and archaeology 
Temples -- Nubia","東京大学総合図書館/The General Library, the University of Tokyo",BG:222:11-12,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,"カール・リヒャルト・レプシウス『エジプトおよびエチオピアの記念碑』.古代エジプト文明の記念碑に対する科学的記録を得るために,1842年から45年にかけてプロイセン王フリードリヒ・ヴィルヘルム4世によって派遣された調査団による学術成果報告.第11巻.第6部:ヒエログリフ以外の文字で書かれた碑文.図版:1-69.「大蔵省賠償金特別会計所属図書」,「東京帝国大学図書印」の印有り.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56cb1645-183b-6261-4f04-7c4ef2794bf3.json,56cb1645-183b-6261-4f04-7c4ef2794bf3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/56cb1645-183b-6261-4f04-7c4ef2794bf3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/22b5933d368cfe551bc8e1ea2f48aadb1f4f0190.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1176835,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,2-11,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56cb1645-183b-6261-4f04-7c4ef2794bf3/manifest,,,,,75
Denkmaeler aus Aegypten und Aethiopien. Band 12,"Denkmaeler aus Aegypten und Aethiopien nach den zeichnungen der von Seiner Majestaet dem koenige von Preussen Friedrich Wilhelm IV nach diesen laendern gesendeten und in den jahren 1842-1845 ausgefuehrten wissenschaftlichen Expedition, auf Befehl seiner Majestaet","Band XII. Sechste Abtheilung, Inschriften mit Ausschluss der Hieroglyphischen. Blatt LXX-CXXVII","Lepsius, Richard|herausgegeben und erlaeutert von C.R. Lepsius",Nicolaische Buchhandlung,Berlin,,[1849]-[1859],ger,"Ancient Egypt -- Art and archaeology  Egyptian language -- Inscriptions
Tombs -- Ancient Egypt 
Temples -- Ancient Egypt
Nubia -- Art and archaeology 
Temples -- Nubia","東京大学総合図書館/The General Library, the University of Tokyo",BG:222:11-12,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,"カール・リヒャルト・レプシウス『エジプトおよびエチオピアの記念碑』.古代エジプト文明の記念碑に対する科学的記録を得るために,1842年から45年にかけてプロイセン王フリードリヒ・ヴィルヘルム4世によって派遣された調査団による学術成果報告.第12巻.第6部:ヒエログリフ以外の文字で書かれた碑文.図版:70-127.「大蔵省賠償金特別会計所属図書」,「東京帝国大学図書印」の印有り.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/11e8e95e-93a7-8803-2093-7ad447b26ce7.json,11e8e95e-93a7-8803-2093-7ad447b26ce7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/11e8e95e-93a7-8803-2093-7ad447b26ce7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e175543a931870dd5c721460b1e6031ac4d3eec0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1176836,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",,,エジプト学研究のためのデジタル資源/Digital Resources for Egyptian Studies,2-12,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/11e8e95e-93a7-8803-2093-7ad447b26ce7/manifest,,,,,63
