タイトル	年月日	本文タイトル（原本）	巻頭目録タイトル（原本）	本文タイトル（標点本）	巻頭目録タイトル（標点本）	冊	巻	条	画像（開始コマ）	請求記号	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
不分巻-1											09691e0c-4732-4ec8-8d29-65a19b59c742	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/09691e0c-4732-4ec8-8d29-65a19b59c742	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/7f505fe687e184f7d99179c473658f82d0febc80.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104426	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/09691e0c-4732-4ec8-8d29-65a19b59c742/manifest					43
不分巻-2											91c20f07-f4a1-48dd-bd71-ba34220ae40f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/91c20f07-f4a1-48dd-bd71-ba34220ae40f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/e46825629b927aa8038a7a9b334380b7c7da244e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104427	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91c20f07-f4a1-48dd-bd71-ba34220ae40f/manifest					49
不分巻-3											97bbc616-5961-4f89-9774-ef0fb166ad3a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/97bbc616-5961-4f89-9774-ef0fb166ad3a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/cb269aab563a4ccd3b934b663086b4bf1c5ef846.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104428	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/97bbc616-5961-4f89-9774-ef0fb166ad3a/manifest					61
不分巻-4											061eecbd-507c-4211-a726-4b6d7abaf356	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/061eecbd-507c-4211-a726-4b6d7abaf356	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/23d048da7962ac9afe75a39e1436b744170c784a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104429	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/061eecbd-507c-4211-a726-4b6d7abaf356/manifest					39
不分巻-5											620e6ad5-9655-4e66-8d47-09f93bde50aa	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/620e6ad5-9655-4e66-8d47-09f93bde50aa	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/67226ddf9cbf2a0ebe991aabdbaa7c628ce1bad7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104430	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/620e6ad5-9655-4e66-8d47-09f93bde50aa/manifest					53
不分巻-6											767b8c16-8a8b-45df-acd3-02635d226bed	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/767b8c16-8a8b-45df-acd3-02635d226bed	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/686fcda0e729237a435bc50ae43e9d54eaeb4793.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104431	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/767b8c16-8a8b-45df-acd3-02635d226bed/manifest					62
不分巻-7											665903cd-fc75-4d2a-a173-5dd0bc8cb246	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/665903cd-fc75-4d2a-a173-5dd0bc8cb246	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/c440add96d2d869d2b4336a65b19a96216ec0596.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104432	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/665903cd-fc75-4d2a-a173-5dd0bc8cb246/manifest					66
不分巻-8											e478ca47-bbb2-469b-aa20-2907bbd63e08	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/e478ca47-bbb2-469b-aa20-2907bbd63e08	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/db853941f9760130aa853468089676abd0cc685a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104433	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e478ca47-bbb2-469b-aa20-2907bbd63e08/manifest					55
不分巻-9											fe18bcd5-3346-478e-b384-0fa1bbc60962	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/fe18bcd5-3346-478e-b384-0fa1bbc60962	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/8a32780b772485ba86c070700b758e9599635a2c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104434	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe18bcd5-3346-478e-b384-0fa1bbc60962/manifest					41
不分巻-10											94ed1e89-c5f2-4e3b-9777-da7931ffd812	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/94ed1e89-c5f2-4e3b-9777-da7931ffd812	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/f2618d6ae88f33d1475529762fb046bf41d456ac.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104435	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/94ed1e89-c5f2-4e3b-9777-da7931ffd812/manifest					42
不分巻-11											385ed1f0-6b9f-4d74-a200-1f64381fade3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/385ed1f0-6b9f-4d74-a200-1f64381fade3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/ea3df1e27d1d7e5b2ceeb96ed94da5164f919843.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104436	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/385ed1f0-6b9f-4d74-a200-1f64381fade3/manifest					47
不分巻-12											7364d439-b8ea-416c-9490-116f0c1937bb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/7364d439-b8ea-416c-9490-116f0c1937bb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/76fc678373ec529290036974c5deb55e47f76e74.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104437	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7364d439-b8ea-416c-9490-116f0c1937bb/manifest					54
不分巻-13											e5b491bb-5e75-4054-9fef-b9e4eaa7ebfa	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/e5b491bb-5e75-4054-9fef-b9e4eaa7ebfa	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/725bab6fb39a6e403299f89235109b1cdb61a175.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104438	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e5b491bb-5e75-4054-9fef-b9e4eaa7ebfa/manifest					43
不分巻-14											ff68d19b-cd93-473e-a8b8-6505759f9b7c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ff68d19b-cd93-473e-a8b8-6505759f9b7c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/79dfe6f9fc01aeb366c9f13464e4ddeb2c470a13.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104439	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff68d19b-cd93-473e-a8b8-6505759f9b7c/manifest					46
