タイトル	タイトル	タイトルよみ	請求番号	和暦	地域	題種・題名	題種・題名よみ	作者名	作者名よみ	書誌備考	刊写	体裁	親書誌	大分類	中分類	小分類	月	日	西暦	月日	刊記	板元	元号	劇場	内題下	演奏者	統一劇場	刊年	興行人	内題下よみ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
桜花大江戸入船		やよいのはなおえどのいりふね	黒0963-0015-019	天保08	江戸						刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	06	1837	03・06		板元 せともの丁 村山源兵衛正	天保	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6796f1c2-1180-4a52-8730-f5b00126478e.json	6796f1c2-1180-4a52-8730-f5b00126478e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/6796f1c2-1180-4a52-8730-f5b00126478e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d7dc2aec3d31c3970c2963ea6781afafbf6ec954.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279221	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1790	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6796f1c2-1180-4a52-8730-f5b00126478e/manifest					1
菅原伝授手習鑑		すがわらでんじゅてならいかがみ	黒0963-0015-020	天保05	江戸	隅田川劇場縁日|荵関娘商人 (浄瑠理)	すみだがわかぶきのえんにち|しのぶせきやにむすめあきうど				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	08	21	1834	08・21		板元 福地茂兵衛/正めい ふきや丁 山本重五郎板	天保	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/31f0fd57-8a03-4033-8e93-1368e5062194.json	31f0fd57-8a03-4033-8e93-1368e5062194	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/31f0fd57-8a03-4033-8e93-1368e5062194	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5e58b7a1d2f26775d3ce7de753ecd989ae765ea3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279222	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1791	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/31f0fd57-8a03-4033-8e93-1368e5062194/manifest					1
伊賀越乗掛合羽		いがごえのりかけかっぱ	黒0963-0015-021	天保05	江戸	積恋雪関扉 (浄瑠璃)	つもるこいゆきのせきのと			印記(墨印)「木挽町 高嶋屋吾助」	刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	01	25	1834	01・25		板元 田所町 小川半助正	天保	森田座			森田座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2cda293a-d33d-4ac2-8573-4ff39b635ae8.json	2cda293a-d33d-4ac2-8573-4ff39b635ae8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/2cda293a-d33d-4ac2-8573-4ff39b635ae8	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/119467818642973c042ec7ec372a5b18deb547b0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279223	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1792	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2cda293a-d33d-4ac2-8573-4ff39b635ae8/manifest					1
神霊矢口渡		しんれいやぐちのわたし	黒0963-0015-022	天保02	江戸	嫗山姥	こもちやまんば				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	05	07	1831	05・07		板元 [田所町 小川半助]正	天保	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1efd1f96-9f29-4e93-9388-d15c0023b968.json	1efd1f96-9f29-4e93-9388-d15c0023b968	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/1efd1f96-9f29-4e93-9388-d15c0023b968	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/57f587798ebdc461316464a55693d6e4efc3ee16.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279224	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1793	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1efd1f96-9f29-4e93-9388-d15c0023b968/manifest					1
一谷嫩軍記		いちのたにふたばぐんき	黒0963-0015-023	文政12	江戸	菊月千種の夕暎	きくづきちぐさのあかねぞめ				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	09	01	1829	09・01		板元 田所丁 小川半助正	文政	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fbc76ab2-87e7-4b86-8dd6-aec09c30a2b4.json	fbc76ab2-87e7-4b86-8dd6-aec09c30a2b4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/fbc76ab2-87e7-4b86-8dd6-aec09c30a2b4	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/af8e833f2c72d83b12622d8a91cfcda88863863c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279225	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1794	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fbc76ab2-87e7-4b86-8dd6-aec09c30a2b4/manifest					1
太平記忠臣講釈		たいへいきちゅうしんこうしゃく	黒0963-0015-024	文化09	江戸	道行拙振袖 (浄瑠理)	みちゆきおにもじゅうしち				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	07	15	1812	07・15		板元 せともの丁 村山源兵衛正	文化	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e4385cfd-b46f-4aaf-88ca-7b0987a74514.json	e4385cfd-b46f-4aaf-88ca-7b0987a74514	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/e4385cfd-b46f-4aaf-88ca-7b0987a74514	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3ff926073e2540d53188acdc0216dfe88e95338c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279226	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1795	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e4385cfd-b46f-4aaf-88ca-7b0987a74514/manifest					1
牡丹蝶初篋		ぼたんにちょうはつがふみばこ	黒0963-0015-025	天保02	江戸	五大力比翼三紋|[河津繋]曽我本説	はやりうたひよくのみつもん|かわづがけそがのほんぜつ				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	03	1831	03・03		板元 田所町 小川半助正	天保	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2e765b8a-5627-42c5-9119-56c4dfcb7584.json	2e765b8a-5627-42c5-9119-56c4dfcb7584	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/2e765b8a-5627-42c5-9119-56c4dfcb7584	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1feaff8447f20dd8bc0464beec13628da9f87c2b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279227	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1796	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2e765b8a-5627-42c5-9119-56c4dfcb7584/manifest					1
姿花〓錦絵		すがたのはなやよいのにしきえ	黒0963-0015-026	文政12	江戸	関取二代勝負付|七重八重咲分桜 (所作)|色一座曽我大寄	せきとりにだいのしょうぶづけ|ななえやえさきわけざくら|いろいちざそがのおおよせ				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	05	1829	03・05		板元 福地茂兵衛/ふきや丁 山本重五郎正	文政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3cdcb635-4e46-4a46-95ff-db5efb64b377.json	3cdcb635-4e46-4a46-95ff-db5efb64b377	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/3cdcb635-4e46-4a46-95ff-db5efb64b377	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/45acf10fea2d2c6ab459096f322dde1f451f38c3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279228	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1797	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3cdcb635-4e46-4a46-95ff-db5efb64b377/manifest					1
義経千本桜		よしつねせんぼんざくら	黒0963-0015-027	文政11	江戸	連吉野初音旅路 (浄瑠理)	つれもよしのはつねのたびじ				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	07	21	1828	07・21		板元 福地茂兵衛/ふきや丁 山本重五郎正	文政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0059de11-6c24-485b-ab5d-1dfb83a65ee5.json	0059de11-6c24-485b-ab5d-1dfb83a65ee5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/0059de11-6c24-485b-ab5d-1dfb83a65ee5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a5b89f0dd73af474884f7419f16071e22b2f27e1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279229	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1798	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0059de11-6c24-485b-ab5d-1dfb83a65ee5/manifest					1
伊達競阿国戯場		だてくらべおくにかぶき	黒0963-0015-028	文政12	江戸	沢紫色水上 (浄瑠理)|[江南]魁曽我	さわむらさきいろのみなかみ|みんなみにさきがけそが				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	05	1829	03・05		板元 田所町 小川半助正	文政	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/de339d60-e5d0-46d8-8625-4c60627b5e87.json	de339d60-e5d0-46d8-8625-4c60627b5e87	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/de339d60-e5d0-46d8-8625-4c60627b5e87	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d50d9269c85283907a073775a1c96d17702bb67f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279230	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1799	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/de339d60-e5d0-46d8-8625-4c60627b5e87/manifest					1
紅葉鹿封文曽我		もみじにしかふりそでそが	黒0963-0015-029	文政12	江戸						刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	01	17	1829	01・17		板元 せともの丁 村山源兵衛正	文政	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cad48ad8-f90f-4022-8769-2b2c5359bc1d.json	cad48ad8-f90f-4022-8769-2b2c5359bc1d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/cad48ad8-f90f-4022-8769-2b2c5359bc1d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cbc094a751864c87b8aeea225c17e4665623d131.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279231	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1800	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cad48ad8-f90f-4022-8769-2b2c5359bc1d/manifest					1
一谷嫩軍記		いちのたにふたばぐんき	黒0963-0015-030	文政11	江戸	嫗山姥|不負江戸男俎板|拙筆力七以呂波 (所作)	こもちやまんば|かけねなしえどっこりょうり|にじりがきななついろは				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	07	1828	03・07		板元 せともの丁 村山源兵衛正	文政	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/23330c96-ba2c-4d53-8bfc-31a8fce6878f.json	23330c96-ba2c-4d53-8bfc-31a8fce6878f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/23330c96-ba2c-4d53-8bfc-31a8fce6878f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/65755e5af5787a5dfa281c2a036b846d65239a96.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279232	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1801	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/23330c96-ba2c-4d53-8bfc-31a8fce6878f/manifest					1
義経千本桜		よしつねせんぼんざくら	黒0963-0015-031	文政11	江戸	道行菊鶏関初音 (浄瑠理)	みちゆききくにとりせきのはつね				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	15	1828	03・15		板元 田所町 小川半助正銘	文政	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/878dd479-135f-471b-8697-45a85d76f968.json	878dd479-135f-471b-8697-45a85d76f968	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/878dd479-135f-471b-8697-45a85d76f968	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2a31005cff7881fd12a645db6aa1598d572a59b8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279233	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1802	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/878dd479-135f-471b-8697-45a85d76f968/manifest					1
楼門五山桐		さんもんごさんのきり	黒0963-0015-032	文政11	江戸	更名桜の盞 (浄瑠理)|二葉春花麗曽我	あらためてはなのさかずき|ふたばのはるにぎわいそが				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	03	1828	03・03		板元 福地茂兵衛/ふきや丁 山本重五郎正	文政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2db858c7-47a7-409e-ba7c-e2c68af01bb7.json	2db858c7-47a7-409e-ba7c-e2c68af01bb7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/2db858c7-47a7-409e-ba7c-e2c68af01bb7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b790fbc4d645952df9b7a63a3be4c2bbb538baf8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279234	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1803	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2db858c7-47a7-409e-ba7c-e2c68af01bb7/manifest					1
水滸伝曽我風流		すいこでんそがのふうりゅう	黒0963-0015-033	文政11	江戸	四十八手恋諸訳 (浄瑠理 上の巻)|鴛鴦容姿の正夢 (浄瑠理 下の巻)	しじゅうはってこいのしょわけ|いもせどりすがたのまさゆめ				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	01	21	1828	01・21		板元 せともの丁 村山源兵衛正	文政	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f8de8bdc-c0a5-46b5-94bf-f37b5fc25300.json	f8de8bdc-c0a5-46b5-94bf-f37b5fc25300	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/f8de8bdc-c0a5-46b5-94bf-f37b5fc25300	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff2e9e50ad3081bfa0447a88cdc5d6ee40f3826b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279235	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1804	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f8de8bdc-c0a5-46b5-94bf-f37b5fc25300/manifest					1
独道中五十三駅		ひとりたびごじゅうさんつぎ	黒0963-0015-034	文政10	江戸	須臾三保浮気実 (浄瑠璃)	ちょっとみほうわきがまこと				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	06	03	1827	06閏03		板元 田所町 小川半助正	文政	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d85e1f30-ec69-4c33-9d04-4b0088e48cee.json	d85e1f30-ec69-4c33-9d04-4b0088e48cee	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d85e1f30-ec69-4c33-9d04-4b0088e48cee	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b7a35a45eeff6ff0bf420839d08e5a45d50b7790.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279236	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1805	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d85e1f30-ec69-4c33-9d04-4b0088e48cee/manifest					1
伊達劇場根元礎		だてかぶきこんげんのいしずえ	黒0963-0015-035	文政10	江戸	鹿子かさね小褄両面 (浄瑠璃)	かのこがさねこづまのふたおもて				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	03	20	1827	03・20			文政	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c2cfabd9-5cc6-4947-89a5-7a798b639af3.json	c2cfabd9-5cc6-4947-89a5-7a798b639af3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c2cfabd9-5cc6-4947-89a5-7a798b639af3	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a37ffe5b1c2f2e5182f66600026a6529330f88af.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279237	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1806	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c2cfabd9-5cc6-4947-89a5-7a798b639af3/manifest					1
江戸仕入雛行列		えどじいれひなのぎょうれつ	黒0963-0015-036	文政09	江戸	縫直紫頭巾	したてなおしむらさきずきん				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	05	09	1826	05・09		板元 福地茂兵衛/ふきや丁 山本重五郎正	文政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5d50d381-1093-4870-88f3-1bb0248659b4.json	5d50d381-1093-4870-88f3-1bb0248659b4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/5d50d381-1093-4870-88f3-1bb0248659b4	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/95facbd274771d799ae0b7ff7b8f57df827cd660.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279238	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1807	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5d50d381-1093-4870-88f3-1bb0248659b4/manifest					1
一谷嫩軍記		いちのたにふたばぐんき	黒0963-0015-037	文政08	江戸	増補重井筒|道行浮名の朧染 (浄瑠理)	ぞうほかさねいづつ|みちゆきうきなのおぼろぞめ				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	07	16	1825	07・16		板元 福地茂兵衛/ふきや丁 山本重五郎正	文政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5f34ae0b-852e-4b72-8784-de8e5410b6d0.json	5f34ae0b-852e-4b72-8784-de8e5410b6d0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/5f34ae0b-852e-4b72-8784-de8e5410b6d0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/52eab7057101c433f2c3153e152007162918198a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279239	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1808	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5f34ae0b-852e-4b72-8784-de8e5410b6d0/manifest					1
ひらかな盛衰記		ひらがなせいすいき	黒0963-0015-038	文政11	江戸	[義経]千本桜	よしつねせんぼんざくら				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	04	11	1828	04・11		板元 田所町 小川半助正	文政	河原崎座			河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d700b997-db45-43a8-bdcd-465fe84c856a.json	d700b997-db45-43a8-bdcd-465fe84c856a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d700b997-db45-43a8-bdcd-465fe84c856a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a60c0e60bb1f2dbc45d2dc988a6af91c3fc69935.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279240	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1809	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d700b997-db45-43a8-bdcd-465fe84c856a/manifest					1
仮名手本忠臣蔵		かなでほんちゅうしんぐら	黒0963-0015-039	文政10	江戸	伊勢音頭恋寝剣	いせおんどこいのねたば				刊	一枚物。粘葉装仕立	[東京番付]	歌舞伎	番付	辻番付	07	27	1827	07・27		板元 せともの丁 村山源兵衛正	文政	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/10cd2240-4d6e-456f-a376-7508982270b6.json	10cd2240-4d6e-456f-a376-7508982270b6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/10cd2240-4d6e-456f-a376-7508982270b6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/59c90030a54b102f6abb9419f1870969ebe4c324.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279241	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				1810	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/10cd2240-4d6e-456f-a376-7508982270b6/manifest					1
