タイトル	資料の解説	項目	年月日	分類	出版事項等	状態	縦×横（cm）	備考	冊数	サブコレクション	年	アイテムURL	viewingDirection	ID	ソート用項目	機械可読ドキュメント	ウェブサイトURL	IIIFマニフェストURI	帰属	コレクション	サムネイル	利用条件
江戸大地震出火場所附		災害	安政2年10月2日	かわら版		木版(多色)	35×93	01-007と同じ	01-036	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/73b2ea81-5009-4d39-a153-c825ad3cc925	http://iiif.io/api/presentation/2#rightToLeftDirection	73b2ea81-5009-4d39-a153-c825ad3cc925	0036	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81701	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81701/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88416/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
天保改勢珍説増補鯰年代雑記		その他	嘉永4年中秋月	かわら版		木版(墨一色)	37×51		01-037	石本コレクションI	1851	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/b17dae8e-711f-4865-ae70-6bf32fc253de	http://iiif.io/api/presentation/2#rightToLeftDirection	b17dae8e-711f-4865-ae70-6bf32fc253de	0037	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81709	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81709/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88417/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地震(仮)		災害	安政2年10月2日	かわら版		"木版(墨一色)
木版(多色)"	41×54	奥に異筆:直七(甲府飛脚)申口 浅草通り吉原町ニテ人損じ候事幾千人と申儀・・・(以下略)	01-038	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c23a1d59-10f6-4865-9c42-4dfce94fc179	http://iiif.io/api/presentation/2#rightToLeftDirection	c23a1d59-10f6-4865-9c42-4dfce94fc179	0038	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81586	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81586/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88418/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
信越大地震		災害	弘化4年3月24日	かわら版		木版(墨一色)	48×68		01-039	石本コレクションI	1847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/92d56ed0-ecd4-498a-9477-e7fa5a18fb79	http://iiif.io/api/presentation/2#rightToLeftDirection	92d56ed0-ecd4-498a-9477-e7fa5a18fb79	0039	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81829	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81829/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88419/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
信越大地震場所		災害	弘化4年5月28日	かわら版		木版(墨一色)	48×67		01-040	石本コレクションI	1847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2484e422-b238-4ccd-a3e2-aba9e1fac207	http://iiif.io/api/presentation/2#rightToLeftDirection	2484e422-b238-4ccd-a3e2-aba9e1fac207	0040	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81821	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81821/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88420/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
安政二卯十月二日大地震附類焼場所		災害	安政2年10月2日	かわら版		木版(多色)	50×72		01-041	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/0645fbef-17d4-4958-b657-09303e9c740f	http://iiif.io/api/presentation/2#rightToLeftDirection	0645fbef-17d4-4958-b657-09303e9c740f	0041	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81825	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81825/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88421/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
常陸国鹿島神宮之図		名所案内				木版(墨一色)	50×64		01-042	石本コレクションI		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/27ba72b8-5543-4fc7-9988-30b684a37d61	http://iiif.io/api/presentation/2#rightToLeftDirection	27ba72b8-5543-4fc7-9988-30b684a37d61	0042	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81507	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81507/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88422/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
ぢしんの辨		災害	安政2年10月2日	錦絵		木版(多色)	37×51		01-043	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d9da8fd4-13e2-4d01-9d0b-fe8a59641f3f	http://iiif.io/api/presentation/2#rightToLeftDirection	d9da8fd4-13e2-4d01-9d0b-fe8a59641f3f	0043	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81931	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81931/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88423/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
東名所道化寿古録		名所案内		双六	作者:一光斉芳盛、版元:日本橋万町平野屋新蔵	木版(多色)	×		01-044	石本コレクションI		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1fc0834b-b057-4576-913a-7e81c1f4b8fd	http://iiif.io/api/presentation/2#rightToLeftDirection	1fc0834b-b057-4576-913a-7e81c1f4b8fd	0044	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81539	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81539/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88424/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
常陸国鹿嶋社内之図末社略之		名所案内				木版(墨一色)	40×70		01-045	石本コレクションI		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/5c683b2a-dc65-44ee-9e77-ce2b1b62dc52	http://iiif.io/api/presentation/2#rightToLeftDirection	5c683b2a-dc65-44ee-9e77-ce2b1b62dc52	0045	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81765	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81765/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88425/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
