タイトル	資料の解説	項目	年月日	分類	出版事項等	状態	縦×横（cm）	備考	冊数	サブコレクション	年	アイテムURL	viewingDirection	ID	ソート用項目	機械可読ドキュメント	ウェブサイトURL	IIIFマニフェストURI	帰属	コレクション	サムネイル	利用条件
浮世栄 しんよしハらかりたく		災害	安政2年10月2日	鯰絵		木版(多色)	36.5×50	2枚組	04-024	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/6ad21967-f8b0-459f-9c04-9f549983c897	http://iiif.io/api/presentation/2#rightToLeftDirection	6ad21967-f8b0-459f-9c04-9f549983c897	0247	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81732	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81732/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88627/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
かけ合あふむ石		災害	安政2年10月2日	鯰絵	上総 内藤の印あり	木版(多色)	37×50	2枚組	04-025	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d00a86c8-22d2-49f4-9475-3294cd01a8bb	http://iiif.io/api/presentation/2#rightToLeftDirection	d00a86c8-22d2-49f4-9475-3294cd01a8bb	0248	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81535	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81535/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88628/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大合戦図		災害	安政2年10月2日	鯰絵		木版(多色)	35×75	3枚組	04-026	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e897d9b9-7fd8-480b-989f-10ae444cbc1b	http://iiif.io/api/presentation/2#rightToLeftDirection	e897d9b9-7fd8-480b-989f-10ae444cbc1b	0249	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81880	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81880/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88629/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震世相川柳(仮)		災害	安政2年10月2日	錦絵		木版(多色)	34.5×24		04-027	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d0b9b2d5-c091-4793-84b3-20a798511e29	http://iiif.io/api/presentation/2#rightToLeftDirection	d0b9b2d5-c091-4793-84b3-20a798511e29	0250	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81585	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81585/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88630/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
是から世直し厄はらひ		災害	安政2年10月2日	かわら版		木版(多色)	35×23.5		04-028	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/77afce4d-27b8-44c4-a453-81c5deeadd48	http://iiif.io/api/presentation/2#rightToLeftDirection	77afce4d-27b8-44c4-a453-81c5deeadd48	0251	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81698	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81698/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88631/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
太平優美論		災害	安政2年	錦絵		木版(多色)	36.5×48.5		04-029	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/4230ffe2-0864-467a-b493-b76c206f4abc	http://iiif.io/api/presentation/2#rightToLeftDirection	4230ffe2-0864-467a-b493-b76c206f4abc	0252	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81795	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81795/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88632/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
難中時世の近在借家		災害	安政2年	錦絵		木版(多色)	36×24		04-030	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/62e0dbd3-dd4d-4b3f-8a9a-8157c7bc2e4a	http://iiif.io/api/presentation/2#rightToLeftDirection	62e0dbd3-dd4d-4b3f-8a9a-8157c7bc2e4a	0253	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81584	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81584/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88633/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
当時流行いろは壁		災害	安政2年	錦絵		木版(多色)	36×24.5		04-031	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2bcd2596-d7c1-4b1c-83b7-e96086d6c38e	http://iiif.io/api/presentation/2#rightToLeftDirection	2bcd2596-d7c1-4b1c-83b7-e96086d6c38e	0254	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81902	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81902/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88634/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
関東江戸大地震并出火方角附		災害	安政2年10月2日	かわら版	袖に:石堂禁売	木版(多色)・木版(墨一色)	34.5×71		05-001	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/03f550e0-9cd9-4f99-a392-7a1d44ca60f3	http://iiif.io/api/presentation/2#rightToLeftDirection	03f550e0-9cd9-4f99-a392-7a1d44ca60f3	0255	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81767	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81767/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88635/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
改正大地震出火年代記		災害	安政2年10月2日	かわら版		木版(墨一色)	35×47		05-002	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/cd80aa4f-1f12-4b83-abcd-5c7446796c1b	http://iiif.io/api/presentation/2#rightToLeftDirection	cd80aa4f-1f12-4b83-abcd-5c7446796c1b	0256	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81544	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81544/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88636/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地震新焼場附		災害	安政2年10月2日	かわら版		木版(墨一色)	38×53		05-003	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e4dc9b1f-ba6b-4244-b36e-62ac7d21478a	http://iiif.io/api/presentation/2#rightToLeftDirection	e4dc9b1f-ba6b-4244-b36e-62ac7d21478a	0257	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81811	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81811/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88637/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地震□焼場附		災害	安政2年10月2日	かわら版		木版(墨一色)	34.5×49.5		05-004	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f5a6aeb1-5814-4ef2-8396-46f260921f28	http://iiif.io/api/presentation/2#rightToLeftDirection	f5a6aeb1-5814-4ef2-8396-46f260921f28	0258	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81525	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81525/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88638/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
新吉原仮宅附		災害	安政2年10月2日	かわら版		木版(墨一色)	34.5×48		05-005	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/83ac5ff4-60be-4894-ab4a-3bb46d19ff5a	http://iiif.io/api/presentation/2#rightToLeftDirection	83ac5ff4-60be-4894-ab4a-3bb46d19ff5a	0259	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81616	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81616/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88639/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
雷の風刺画(仮)		災害	嘉永3年8月8日	錦絵		木版(多色)	39×52		05-006	石本コレクションI	1850	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f88e471f-4e5f-4896-ba15-d49b827414a5	http://iiif.io/api/presentation/2#rightToLeftDirection	f88e471f-4e5f-4896-ba15-d49b827414a5	0260	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81589	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81589/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88640/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
山城勢州大和三河江州越前聞書大地震并ニ出火の次第		災害	嘉永6年6月14日	かわら版		木版(墨一色)	33×45		05-007	石本コレクションI	1853	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/6f89bcdd-4bad-414d-b22c-5f6094117c56	http://iiif.io/api/presentation/2#rightToLeftDirection	6f89bcdd-4bad-414d-b22c-5f6094117c56	0261	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81847/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88641/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
諸国大地震大津波 三編		災害	嘉永7年11月4日	かわら版		木版(墨一色)	36×49		05-008	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/10616286-a791-4e38-a2ae-6e563e262935	http://iiif.io/api/presentation/2#rightToLeftDirection	10616286-a791-4e38-a2ae-6e563e262935	0262	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81511	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81511/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88642/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大坂川口大つなみ混雑記		災害	嘉永7年11月5日	かわら版		木版(墨一色)	34×48	36658	05-009	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e6cecd1e-5406-41ea-b3eb-2022e9cd4b6f	http://iiif.io/api/presentation/2#rightToLeftDirection	e6cecd1e-5406-41ea-b3eb-2022e9cd4b6f	0263	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81712	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81712/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88643/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地震出火本しらべ		災害	安政2年10月7日	かわら版		木版(墨一色)	36×49		05-010	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/b6ef0fa2-9435-407c-be7c-3071983d4912	http://iiif.io/api/presentation/2#rightToLeftDirection	b6ef0fa2-9435-407c-be7c-3071983d4912	0264	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81797	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81797/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88644/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
安政五年午十一月江戸大火		災害	安政5年11月12日	かわら版		木版(多色)	36×49		05-011	石本コレクションI	1858	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d4930449-c69b-401e-b845-4682c1e1666e	http://iiif.io/api/presentation/2#rightToLeftDirection	d4930449-c69b-401e-b845-4682c1e1666e	0265	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81662	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81662/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88645/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大坂川口大つなみ混雑記		災害	嘉永7年11月5日	かわら版		木版(墨一色)	36×48	36655	05-012	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dbd163fc-e58a-4370-ad83-853922124777	http://iiif.io/api/presentation/2#rightToLeftDirection	dbd163fc-e58a-4370-ad83-853922124777	0266	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81896	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81896/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88646/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
摂津大ぢしん		災害	嘉永7年11月4日	かわら版		木版(墨一色)	35×48.5		05-013	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/462d11a4-8a73-4673-9d31-d230374a17e2	http://iiif.io/api/presentation/2#rightToLeftDirection	462d11a4-8a73-4673-9d31-d230374a17e2	0267	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81839	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81839/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88647/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地震出火之図		災害	嘉永7年11月4日	かわら版		木版(墨一色)	36.5×49		05-014	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/4f404571-07db-42a6-85ba-d163085dbd3d	http://iiif.io/api/presentation/2#rightToLeftDirection	4f404571-07db-42a6-85ba-d163085dbd3d	0268	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81874	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81874/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88648/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
摂津大津波次第		災害	嘉永7年11月5日	かわら版		木版(多色)	35×48		05-015	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/95d9e8c2-5501-4cc7-8134-bca50fd52ec2	http://iiif.io/api/presentation/2#rightToLeftDirection	95d9e8c2-5501-4cc7-8134-bca50fd52ec2	0269	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81621	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81621/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88649/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
東海道南海道国々大地震大つなミ		災害	嘉永7年11月	かわら版		木版(墨一色)	36×48.5		05-016	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/eecab066-0c60-43f7-855b-4dc86a32ae0d	http://iiif.io/api/presentation/2#rightToLeftDirection	eecab066-0c60-43f7-855b-4dc86a32ae0d	0270	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81633	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81633/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88650/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
高天座石御代礎		災害	安政2年10月2日	かわら版		木版(墨一色)	35.5×45		05-017	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d61b345a-0fc3-4b7d-b16f-181d1fe04808	http://iiif.io/api/presentation/2#rightToLeftDirection	d61b345a-0fc3-4b7d-b16f-181d1fe04808	0271	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81569	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81569/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88651/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸地震方角図(仮)		災害	安政2年10月2日	かわら版		木版(墨一色)	35×49	01-026と同じ	05-018	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/816dde7b-51de-463d-b956-929f0d7fd20e	http://iiif.io/api/presentation/2#rightToLeftDirection	816dde7b-51de-463d-b956-929f0d7fd20e	0272	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81928	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81928/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88652/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
流行職人盡		災害	安政2年10月2日	かわら版		木版(多色)	38×52		05-019	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/731a6823-b8fa-49e1-a28d-137726faee59	http://iiif.io/api/presentation/2#rightToLeftDirection	731a6823-b8fa-49e1-a28d-137726faee59	0273	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81735	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81735/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88653/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
弘化三丙午正月十五日大火類焼図(仮)		災害	弘化3年1月15日	かわら版		木版(墨一色)	31×46		05-020	石本コレクションI	1846	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/be0de553-9012-4cab-a27e-9f5acb8375f5	http://iiif.io/api/presentation/2#rightToLeftDirection	be0de553-9012-4cab-a27e-9f5acb8375f5	0274	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81799	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81799/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88654/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
伊勢伊賀志摩近江尾張美濃大地震の図		災害	嘉永7年6月14日	かわら版		木版(多色)	41×63		05-021	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1b5261a8-893c-4b4a-be15-c26e38089115	http://iiif.io/api/presentation/2#rightToLeftDirection	1b5261a8-893c-4b4a-be15-c26e38089115	0275	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81703	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81703/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88655/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
関東大地震末代鑑		災害	安政2年10月2日	かわら版		木版(墨一色)	36×51		05-022	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9ca09ba9-71b5-4786-97c6-a0e9df99e777	http://iiif.io/api/presentation/2#rightToLeftDirection	9ca09ba9-71b5-4786-97c6-a0e9df99e777	0276	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81884	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81884/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88656/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
諸国大地震大津波末代噺		災害	嘉永7年11月4日	かわら版		木版(墨一色)	48×68		05-023	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/97d1bf36-dd12-4663-86b2-79195e60f7b6	http://iiif.io/api/presentation/2#rightToLeftDirection	97d1bf36-dd12-4663-86b2-79195e60f7b6	0277	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81749	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81749/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88657/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
世中当座帳		災害	安政2年10月2日	番付		木版(墨一色)	51×35		05-024	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/fa9aacc0-9500-40e7-aad6-37d94b390fed	http://iiif.io/api/presentation/2#rightToLeftDirection	fa9aacc0-9500-40e7-aad6-37d94b390fed	0278	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81826	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81826/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88658/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
聖代要廼磐寿恵		災害	安政2年	番付		木版(墨一色)	31×24		05-025	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/a743fd9c-bb54-4820-a7e4-f285bfed27ed	http://iiif.io/api/presentation/2#rightToLeftDirection	a743fd9c-bb54-4820-a7e4-f285bfed27ed	0279	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81674	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81674/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88659/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
