タイトル,資料番号,サブコレクション,内容分類,資料分類,年月日,印刷分類,出版事項等,縦×横（cm）,別タイトル,備考,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,コレクション,IIIFマニフェストURI,ソート用項目,西暦,# of media
dcterms:title,dcterms:identifier,bibo:volume,dcterms:subject,dcterms:type,dcterms:date,dcterms:format,dcterms:publisher,dcterms:extent,dcterms:alternative,archiveshub:note,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,uterms:databaseLabel,uterms:manifestUri,uterms:sort,uterms:year,772
大坂川口大つなみ混雑記,I-05-012,石本コレクションI,災害,かわら版,嘉永7年11月5日,木版(墨一色),,36×48,,同資料:I-05-009,dbd163fc-e58a-4370-ad83-853922124777,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dbd163fc-e58a-4370-ad83-853922124777,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88646/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81896,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dbd163fc-e58a-4370-ad83-853922124777/manifest,0266,1854,1
摂津大ぢしん,I-05-013,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,35×48.5,,,462d11a4-8a73-4673-9d31-d230374a17e2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/462d11a4-8a73-4673-9d31-d230374a17e2,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88647/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81839,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/462d11a4-8a73-4673-9d31-d230374a17e2/manifest,0267,1854,1
江戸大地震出火之図,I-05-014,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,36.5×49,,,4f404571-07db-42a6-85ba-d163085dbd3d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/4f404571-07db-42a6-85ba-d163085dbd3d,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88648/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81874,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f404571-07db-42a6-85ba-d163085dbd3d/manifest,0268,1854,1
摂津大津波次第,I-05-015,石本コレクションI,災害,かわら版,嘉永7年11月5日,木版(多色),,35×48,,,95d9e8c2-5501-4cc7-8134-bca50fd52ec2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/95d9e8c2-5501-4cc7-8134-bca50fd52ec2,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88649/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81621,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/95d9e8c2-5501-4cc7-8134-bca50fd52ec2/manifest,0269,1854,1
聞書東海道南海道国々大地震大つなミ,I-05-016,石本コレクションI,災害,かわら版,嘉永7年11月,木版(墨一色),,36×48.5,東海道南海道国々大地震大つなみ,同資料:II-02-015,eecab066-0c60-43f7-855b-4dc86a32ae0d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/eecab066-0c60-43f7-855b-4dc86a32ae0d,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88650/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81633,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/eecab066-0c60-43f7-855b-4dc86a32ae0d/manifest,0270,1854,1
高天座石御代礎,I-05-017,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,35.5×45,,,d61b345a-0fc3-4b7d-b16f-181d1fe04808,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d61b345a-0fc3-4b7d-b16f-181d1fe04808,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88651/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81569,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d61b345a-0fc3-4b7d-b16f-181d1fe04808/manifest,0271,1855,1
[江戸地震方角図],I-05-018,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,35×49,,同資料:I-01-026,816dde7b-51de-463d-b956-929f0d7fd20e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/816dde7b-51de-463d-b956-929f0d7fd20e,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88652/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81928,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/816dde7b-51de-463d-b956-929f0d7fd20e/manifest,0272,1855,1
流行職人盡,I-05-019,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,38×52,流行職人尽,同資料:II-02-020,731a6823-b8fa-49e1-a28d-137726faee59,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/731a6823-b8fa-49e1-a28d-137726faee59,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88653/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81735,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/731a6823-b8fa-49e1-a28d-137726faee59/manifest,0273,1855,1
[弘化三丙午正月十五日大火類焼図],I-05-020,石本コレクションI,災害,かわら版,弘化3年1月15日,木版(墨一色),,31×46,,,be0de553-9012-4cab-a27e-9f5acb8375f5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/be0de553-9012-4cab-a27e-9f5acb8375f5,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88654/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81799,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be0de553-9012-4cab-a27e-9f5acb8375f5/manifest,0274,1846,1
伊勢伊賀志摩近江尾張美濃大地震の図,I-05-021,石本コレクションI,災害,かわら版,嘉永7年6月14日,木版(多色),,41×63,,,1b5261a8-893c-4b4a-be15-c26e38089115,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1b5261a8-893c-4b4a-be15-c26e38089115,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88655/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81703,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1b5261a8-893c-4b4a-be15-c26e38089115/manifest,0275,1854,1
関東大地震末代鑑,I-05-022,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,36×51,,,9ca09ba9-71b5-4786-97c6-a0e9df99e777,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9ca09ba9-71b5-4786-97c6-a0e9df99e777,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88656/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81884,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9ca09ba9-71b5-4786-97c6-a0e9df99e777/manifest,0276,1855,1
諸国大地震大津波末代噺,I-05-023,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,48×68,,,97d1bf36-dd12-4663-86b2-79195e60f7b6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/97d1bf36-dd12-4663-86b2-79195e60f7b6,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88657/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81749,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/97d1bf36-dd12-4663-86b2-79195e60f7b6/manifest,0277,1854,1
世中当座帳,I-05-024,石本コレクションI,災害,番付,安政2年10月2日,木版(墨一色),,51×35,,,fa9aacc0-9500-40e7-aad6-37d94b390fed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/fa9aacc0-9500-40e7-aad6-37d94b390fed,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88658/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81826,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fa9aacc0-9500-40e7-aad6-37d94b390fed/manifest,0278,1855,1
聖代要廼磐寿恵,I-05-025,石本コレクションI,災害,番付,安政2年,木版(墨一色),,31×24,,,a743fd9c-bb54-4820-a7e4-f285bfed27ed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/a743fd9c-bb54-4820-a7e4-f285bfed27ed,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88659/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81674,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a743fd9c-bb54-4820-a7e4-f285bfed27ed/manifest,0279,1855,1
地しん心得草,I-05-026,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),休応斉老人,35×29,,,74cd45b6-cd66-498e-bc0c-a22721d00209,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/74cd45b6-cd66-498e-bc0c-a22721d00209,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88660/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81882,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/74cd45b6-cd66-498e-bc0c-a22721d00209/manifest,0280,1855,1
古今奇事一覧,I-05-027,石本コレクションI,災害,番付,弘化4年3月24日,木版(墨一色),,49×35.5,,,1163b5c7-3ba8-4c56-947a-3cb70d33c1d0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1163b5c7-3ba8-4c56-947a-3cb70d33c1d0,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88661/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81572,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1163b5c7-3ba8-4c56-947a-3cb70d33c1d0/manifest,0281,1847,1
地震出火後日はなし,I-05-028,石本コレクションI,災害,番付,安政2年10月,木版(墨一色),博覧堂 禁売,45×35,,,dac56063-8087-4ec2-b174-12f2e0ea3644,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dac56063-8087-4ec2-b174-12f2e0ea3644,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88662/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81597,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dac56063-8087-4ec2-b174-12f2e0ea3644/manifest,0282,1855,1
会津ばんだいさん大くづれはなし,I-05-029,石本コレクションI,災害,数え歌,明治21年7月19日,木版(墨一色),,15×45,,,79836366-0ecb-421a-af7f-452cde42e104,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/79836366-0ecb-421a-af7f-452cde42e104,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88663/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81945,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/79836366-0ecb-421a-af7f-452cde42e104/manifest,0283,1888,1
江戸大地震当座見立三人生酔,I-05-030,石本コレクションI,災害,みたて,安政2年10月2日,木版(墨一色),,23×36,,,f1d02192-5c99-47a2-bec6-40f19f404e5f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f1d02192-5c99-47a2-bec6-40f19f404e5f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88664/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81755,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f1d02192-5c99-47a2-bec6-40f19f404e5f/manifest,0284,1855,1
東国十八ヶ国並蝦夷図,I-05-031,石本コレクションI,災害,かわら版,安政3年,木版(墨一色),,17×35,,,4ee2065d-2c54-405a-879c-87ad9ef7aa9f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/4ee2065d-2c54-405a-879c-87ad9ef7aa9f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88665/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81502,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4ee2065d-2c54-405a-879c-87ad9ef7aa9f/manifest,0285,1856,1
[鯰図と猫],I-05-032,石本コレクションI,その他,,,その他,暁斉画,26×53,,,2dd849aa-1887-4cd2-8806-49af67c030dc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2dd849aa-1887-4cd2-8806-49af67c030dc,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88666/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81951,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2dd849aa-1887-4cd2-8806-49af67c030dc/manifest,0286,,1
出方山おしぬけ,I-05-032,石本コレクションI,災害,かわら版,,木版(墨一色),,15×42,,磐梯山の噴火か?,d0408662-1162-4d71-89e8-0b27dcf2ea3d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d0408662-1162-4d71-89e8-0b27dcf2ea3d,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88667/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81724,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0408662-1162-4d71-89e8-0b27dcf2ea3d/manifest,0287,,1
[嘉永六丑年二月二日相州地震],I-05-033,石本コレクションI,災害,かわら版,嘉永6年2月2日,木版(墨一色),東海道吉原 之版,23×26,,,dfbdc423-ff2c-4c0e-8066-85b86e43d425,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dfbdc423-ff2c-4c0e-8066-85b86e43d425,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88668/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81534,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dfbdc423-ff2c-4c0e-8066-85b86e43d425/manifest,0288,1853,1
[安政三年辰八月二十五日江戸大風雨],I-05-035,石本コレクションI,災害,かわら版,安政3年8月25日,木版(墨一色),,22.5×31,,,c7235e30-8f91-4fb4-b646-6cbc4cc73f6b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c7235e30-8f91-4fb4-b646-6cbc4cc73f6b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88669/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81713,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c7235e30-8f91-4fb4-b646-6cbc4cc73f6b/manifest,0289,1856,1
平仮名絵入新聞,I-05-036,石本コレクションI,その他,新聞,,活版,19-24号,40×19.5,,6枚1紙|単色,0c8b54ab-740c-4ffc-adfd-aa9a958cc8f8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/0c8b54ab-740c-4ffc-adfd-aa9a958cc8f8,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88670/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81908,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c8b54ab-740c-4ffc-adfd-aa9a958cc8f8/manifest,0290,,1
[安政地震摺物],I-05-037,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,31×35,,,bb2cb502-f653-493a-b028-f98c81d3ef74,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/bb2cb502-f653-493a-b028-f98c81d3ef74,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88671/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81769,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bb2cb502-f653-493a-b028-f98c81d3ef74/manifest,0291,1855,1
震焼者附,I-05-038,石本コレクションI,災害,,安政2年10月2日,木版(墨一色),市中座 富場潤蔵,37×7,,,1d744463-81cb-4d9d-acbb-14a48c87b1d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1d744463-81cb-4d9d-acbb-14a48c87b1d3,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88672/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81917,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1d744463-81cb-4d9d-acbb-14a48c87b1d3/manifest,0292,1855,1
打身骨抜即席御りやう治,I-05-039,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,17×26,,"同資料:I-05-067, II-01-013",bfe50928-e599-438a-8f7e-aa7927137086,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/bfe50928-e599-438a-8f7e-aa7927137086,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88673/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81768,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfe50928-e599-438a-8f7e-aa7927137086/manifest,0293,1855,1
[伊勢・伊賀・近江・美濃・尾張図],I-05-040,石本コレクションI,災害,かわら版,嘉永7年6月14日,木版(墨一色),,23×30,,「別条なし」とあり|嘉永7年6月14日の地震か?,ea59fea7-a1fb-4f38-9f37-af71a4c77673,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ea59fea7-a1fb-4f38-9f37-af71a4c77673,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88674/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81650,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ea59fea7-a1fb-4f38-9f37-af71a4c77673/manifest,0294,1854,1
嘉永七寅六月十四日大地震に附て,I-05-041,石本コレクションI,災害,かわら版,嘉永7年6月14日,木版(多色),,18×24,,大坂のお陰踊りを伝える資料,dac184ee-f175-4aaa-8e74-8f8e25a97a7a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dac184ee-f175-4aaa-8e74-8f8e25a97a7a,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88675/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81536,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dac184ee-f175-4aaa-8e74-8f8e25a97a7a/manifest,0295,1854,1
