タイトル,請求記号,出版社,出版地,日付,記事タイトル1,記事タイトル1発信元,記事タイトル2,記事タイトル2発信元,記事タイトル3,記事タイトル3発信元,別タイトル,記名,面,備考,シリーズ名,言語,種別,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
函館毎日新聞 明治37年4月14日 第一号外,06-44,函館毎日新聞社,函館,1904-04-14,第七回旅順砲撃,,,,,,第七回旅順砲撃,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db899b97-2981-81c1-1ca1-c4b0673097b4.json,db899b97-2981-81c1-1ca1-c4b0673097b4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/db899b97-2981-81c1-1ca1-c4b0673097b4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9e96bf9d9c0cd0e7cedfd60499fb1e5b3421046d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071788,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1212,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db899b97-2981-81c1-1ca1-c4b0673097b4/manifest,,,,,1
函館毎日新聞 明治37年4月14日 第二号外,06-44,函館毎日新聞社,函館,1904-04-14,露國戰鬪艦沈沒,,マカロフの溺死,,,,露国戦闘艦沈没|マカロフの溺死,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/61498eaf-1b34-7e5d-329c-74fa28e42d31.json,61498eaf-1b34-7e5d-329c-74fa28e42d31,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/61498eaf-1b34-7e5d-329c-74fa28e42d31,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fec0c0106662f698d6a20f7d46bfd8cd74eed06a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071787,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1213,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/61498eaf-1b34-7e5d-329c-74fa28e42d31/manifest,,,,,1
函館毎日新聞 明治37年4月15日 第一号外,06-44,函館毎日新聞社,函館,1904-04-15,豆粕禁輸出,,旅順港口の戰况,,,,豆粕禁輸出|旅順港口の戦況,,1,第一、第二、第三が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/49934483-01e2-09b9-4fb8-f1a4a5a6a0c4.json,49934483-01e2-09b9-4fb8-f1a4a5a6a0c4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/49934483-01e2-09b9-4fb8-f1a4a5a6a0c4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3494e463f76f89238a266f40256fadc96b7cafac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071786,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1214,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/49934483-01e2-09b9-4fb8-f1a4a5a6a0c4/manifest,,,,,1
函館毎日新聞 明治37年4月15日 第二号外,06-44,函館毎日新聞社,函館,1904-04-15,韓國宮殿の出火,,,,,,韓国宮殿の出火,,1,第一、第二、第三が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f91ec8be-45fa-8c0d-74d2-f82c4bb65da8.json,f91ec8be-45fa-8c0d-74d2-f82c4bb65da8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/f91ec8be-45fa-8c0d-74d2-f82c4bb65da8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6adeef543c7e037161b3ff76509c186e77e33f6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071785,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1215,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f91ec8be-45fa-8c0d-74d2-f82c4bb65da8/manifest,,,,,1
函館毎日新聞 明治37年4月15日 第三号外,06-44,函館毎日新聞社,函館,1904-04-15,提督死去と後任,,,,,,提督死去と後任,,1,第一、第二、第三が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c621e1ac-1d3f-1077-9c44-fc1344bd33fa.json,c621e1ac-1d3f-1077-9c44-fc1344bd33fa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/c621e1ac-1d3f-1077-9c44-fc1344bd33fa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/409052327964ded0c4258b584b2ddba4fc9509e5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071784,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1216,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c621e1ac-1d3f-1077-9c44-fc1344bd33fa/manifest,,,,,1
函館毎日新聞 明治37年4月16日 第一号外,06-44,函館毎日新聞社,函館,1904-04-16,露艦沈沒の慘状,,,,,,露艦沈没の惨状,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3ed0114-1ed2-9432-1228-aba180a36272.json,a3ed0114-1ed2-9432-1228-aba180a36272,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/a3ed0114-1ed2-9432-1228-aba180a36272,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/127b4483a884b3014aedba2e01d3cfac171c50a1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071783,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1217,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3ed0114-1ed2-9432-1228-aba180a36272/manifest,,,,,1
函館毎日新聞 明治37年4月17日 第一号外,06-44,函館毎日新聞社,函館,1904-04-17,東郷長官の報告,,,,,,東郷長官の報告,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d2026c4-2200-07a0-7b67-869e73e98d2b.json,2d2026c4-2200-07a0-7b67-869e73e98d2b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/2d2026c4-2200-07a0-7b67-869e73e98d2b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1fb49a59e98551c270ee0e926b69034d3532a2ce.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071782,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1218,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2d2026c4-2200-07a0-7b67-869e73e98d2b/manifest,,,,,1
函館毎日新聞 明治37年4月17日 第二号外,06-44,函館毎日新聞社,函館,1904-04-17,新提督の出發,,張之洞の病状,,戰敗後の露都,,新提督の出発|張之洞の病状|戦敗後の露都,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c80e4214-798e-384d-18bd-e0ff6bd84c6b.json,c80e4214-798e-384d-18bd-e0ff6bd84c6b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/c80e4214-798e-384d-18bd-e0ff6bd84c6b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e8d58f7cd0b40eb17d9829ff750ff3b95898a60.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071781,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1219,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c80e4214-798e-384d-18bd-e0ff6bd84c6b/manifest,,,,,1
函館毎日新聞 明治37年4月18日 号外,06-44,函館毎日新聞社,函館,1904-04-18,旅順占領説,,,,,,旅順占領説,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7f3e66a-4bdf-2537-89f2-67fe479d34b8.json,a7f3e66a-4bdf-2537-89f2-67fe479d34b8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/a7f3e66a-4bdf-2537-89f2-67fe479d34b8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3ab2af8b265ac983eb30218bfd7f9c9069d63600.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071780,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1220,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7f3e66a-4bdf-2537-89f2-67fe479d34b8/manifest,,,,,1
函館毎日新聞 明治37年4月20日 第一号外,06-44,函館毎日新聞社,函館,1904-04-20,第九回旅順攻撃説,,,,,,第九回旅順攻撃説,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4bd3390e-41ec-6b4d-556f-dfdc11e73453.json,4bd3390e-41ec-6b4d-556f-dfdc11e73453,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/4bd3390e-41ec-6b4d-556f-dfdc11e73453,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4b377f0612daa563b2c70f7575addacbbb1399b4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071779,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1221,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4bd3390e-41ec-6b4d-556f-dfdc11e73453/manifest,,,,,1
函館毎日新聞 明治37年4月20日 第二号外,06-44,函館毎日新聞社,函館,1904-04-20,艦長の溺死,,浦港攻撃説,,潜航水雷艇,,艦長の溺死|浦港攻撃説|潜航水雷艇,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bfc4972e-1287-4f2e-950a-71a906205317.json,bfc4972e-1287-4f2e-950a-71a906205317,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/bfc4972e-1287-4f2e-950a-71a906205317,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca5b1d6e7e8ff22a1dba3115b76d52de82902a52.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071778,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1222,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfc4972e-1287-4f2e-950a-71a906205317/manifest,,,,,1
函館毎日新聞 明治37年4月20日 第三号外,06-44,函館毎日新聞社,函館,1904-04-20,第八回攻撃後聞,,,,,,第八回攻撃後聞,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c5d83388-8855-9854-980b-8f9c8af60950.json,c5d83388-8855-9854-980b-8f9c8af60950,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/c5d83388-8855-9854-980b-8f9c8af60950,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c55be37f37621ff9e25a182418be3dc4158c182c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071777,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1223,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c5d83388-8855-9854-980b-8f9c8af60950/manifest,,,,,1
函館毎日新聞 明治37年4月22日 第一号外,06-44,函館毎日新聞社,函館,1904-04-22,滿州の露兵,,亞將軍辞職,,城津の露兵,,満州の露兵|亜将軍辞職|城津の露兵,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4576a81f-71a3-291b-4455-968f97ff7f5a.json,4576a81f-71a3-291b-4455-968f97ff7f5a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/4576a81f-71a3-291b-4455-968f97ff7f5a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a7ef2d8c211be4e70aec3622d642d73186cefb4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071776,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1224,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4576a81f-71a3-291b-4455-968f97ff7f5a/manifest,,,,,1
函館毎日新聞 明治37年4月22日 第二号外,06-44,函館毎日新聞社,函館,1904-04-22,露艦の損害,,,,,,露艦の損害,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bca5d6ff-0988-3374-0672-4f9eb8d35bac.json,bca5d6ff-0988-3374-0672-4f9eb8d35bac,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/bca5d6ff-0988-3374-0672-4f9eb8d35bac,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fb80612a8790eb8fe79feecbc0d4df6ee293b963.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071775,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1225,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bca5d6ff-0988-3374-0672-4f9eb8d35bac/manifest,,,,,1
函館毎日新聞 明治37年4月24日 第一号外,06-44,函館毎日新聞社,函館,1904-04-24,日艦進發説,,露國の計畫,,士官銃殺さる,,日艦進発説|露国の計画|士官銃殺さる,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9a7d3f57-30bc-296c-5789-869fcbcb6c7e.json,9a7d3f57-30bc-296c-5789-869fcbcb6c7e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/9a7d3f57-30bc-296c-5789-869fcbcb6c7e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0183e9675fbbb8892728ae59880badee828e53a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071774,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1226,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9a7d3f57-30bc-296c-5789-869fcbcb6c7e/manifest,,,,,1
函館毎日新聞 明治37年4月24日 第二号外,06-44,函館毎日新聞社,函館,1904-04-24,陛下御勵精,,韓公使招待會,,大使一行叙勳,,陛下御励精|韓公使招待会|大使一行叙勲,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f8bfea47-5789-a54a-0b7a-44b239d44988.json,f8bfea47-5789-a54a-0b7a-44b239d44988,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/f8bfea47-5789-a54a-0b7a-44b239d44988,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5ca62ed48a65adb4114d6215669649c9e4b1eff.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071773,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1227,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f8bfea47-5789-a54a-0b7a-44b239d44988/manifest,,,,,1
函館毎日新聞 明治37年4月25日 第一号外,06-44,函館毎日新聞社,函館,1904-04-25,斥候衝突の後報,,露國の災禍,,水雷沈還の状况,,斥候衝突の後報|露国の災禍|水雷沈還の状況,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/968df297-28ef-9a36-5039-58d409637cb7.json,968df297-28ef-9a36-5039-58d409637cb7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/968df297-28ef-9a36-5039-58d409637cb7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5db278b3601f6fa84b4eafd1eb0c168b5aba6e22.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071772,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1228,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/968df297-28ef-9a36-5039-58d409637cb7/manifest,,,,,1
函館毎日新聞 明治37年4月25日 第二号外,06-44,函館毎日新聞社,函館,1904-04-25,敵兵を撃退す,,,,,,敵兵を撃退す,,1,第一と第二が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db4a5460-4762-97cf-a5da-c0667aa57db1.json,db4a5460-4762-97cf-a5da-c0667aa57db1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/db4a5460-4762-97cf-a5da-c0667aa57db1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/adcf9b1690a6ebee2fd543171c5ff29aed3c04f2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071771,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1229,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db4a5460-4762-97cf-a5da-c0667aa57db1/manifest,,,,,1
函館毎日新聞 明治37年4月26日 第一号外,06-44,函館毎日新聞社,函館,1904-04-26,五洋丸撃沈後報,,露兵の南下,,南部の地震,,五洋丸撃沈後報|露兵の南下|南部の地震,,1,第一ともう1枚が同一台紙に貼り付け,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e807636-1624-692b-2eae-4f3788c49e6b.json,3e807636-1624-692b-2eae-4f3788c49e6b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/3e807636-1624-692b-2eae-4f3788c49e6b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ecc0f9381e1a52a4fa289ecb02d6826c53bb7907.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071770,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1230,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e807636-1624-692b-2eae-4f3788c49e6b/manifest,,,,,1
函館毎日新聞 明治37年4月26日,06-44,函館毎日新聞社,函館,1904-04-26,露國再び進撃,,,,,,露国再び進撃,,1,第一ともう1枚が同一台紙に貼り付け、紙名の表記なし,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6002b063-7d74-2aba-0af5-b4487d5f4540.json,6002b063-7d74-2aba-0af5-b4487d5f4540,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/6002b063-7d74-2aba-0af5-b4487d5f4540,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ce23ed8c7d8f83bfebdcddf6541cb0d7b0053d77.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071769,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1231,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6002b063-7d74-2aba-0af5-b4487d5f4540/manifest,,,,,1
