タイトル	書名よみ	出版	形態	他の書名	注記	分類	原本請求記号	編著者等	出版年（西暦）	ローマ字タイトル	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:publisher	dcterms:extent	dcndl:alternative	dcterms:description	dcterms:subject	dcndl:callNumber	dcterms:creator	dcterms:date	uterms:roman	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	7584
文寶古状揃稚文庫	ブンポウ コジョウゾロエ オサナ ブンコ	鴻巣宿 : 長嶋為一郎 ; 慶応2	1冊(32丁) ; 26cm	頭書講釋文寶古状揃稚文庫	備考: 題箋に「改正増補」, 見返しに「訂正改刻」とあり	往来物	P762		1866	bumpo kojozoroe osana bunko	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b2158962-b1e5-4c6c-9fd9-6e1969086e1a.json	b2158962-b1e5-4c6c-9fd9-6e1969086e1a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/b2158962-b1e5-4c6c-9fd9-6e1969086e1a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/136442b656f4a9efcef4db684273554bee17a0a0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91546	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	20		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b2158962-b1e5-4c6c-9fd9-6e1969086e1a/manifest					35
山寺状 / 松本一笑軒	ヤマデラジョウ	[出版地不明] : [出版者不明] ; 享保11	1冊(5, 28丁) ; 26cm			往来物	P763	松本一笑軒	1726	yamaderajo	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b6d1df70-c550-4f81-8851-0150280896ef.json	b6d1df70-c550-4f81-8851-0150280896ef	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/b6d1df70-c550-4f81-8851-0150280896ef	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/38f60d06db682a2cdd9854fdf4c62328383ae121.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91547	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	21		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b6d1df70-c550-4f81-8851-0150280896ef/manifest					47
頼杏坪先生書 / 頼杏坪	ライキョウヘイ センセイショ	[出版地不明] : [出版者不明] ; 文化14	1冊(37丁) ; 27cm		備考: 丁付 5, 23, 9		P764	頼杏坪	1817	raikyohei senseisho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e84c2fb9-bf20-4123-a58d-d3fa9bfacbdb.json	e84c2fb9-bf20-4123-a58d-d3fa9bfacbdb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e84c2fb9-bf20-4123-a58d-d3fa9bfacbdb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/44e537c4c6ffa70e6aaeaf69f38310353e5fbb06.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91548	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	22		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e84c2fb9-bf20-4123-a58d-d3fa9bfacbdb/manifest					41
百姓教訓書	ヒャクショウ キョウクンショ	[出版地不明] : [出版者不明] ; [文政7]	1冊 ; 24cm		成立年: 享和3. 備考: 書名は表紙による	教訓	P765		1824	hyakusho kyokunsho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c43565ff-e467-49cb-b279-a02489997bbf.json	c43565ff-e467-49cb-b279-a02489997bbf	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/c43565ff-e467-49cb-b279-a02489997bbf	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b132f61515a37c8d7eec663676f49c6dafe68d33.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91549	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	23		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c43565ff-e467-49cb-b279-a02489997bbf/manifest					39
吾妻餘波 / 岡本経朝[撰]	アズマ ナゴリ	東京 : 萬屋錫太郎 ; 明治18	1冊(60丁) ; 22cm	古今百風			P766	岡本経朝[撰]	1885	azuma nagori	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fa03ed0d-ab8c-4f58-9f56-09b39f84524c.json	fa03ed0d-ab8c-4f58-9f56-09b39f84524c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/fa03ed0d-ab8c-4f58-9f56-09b39f84524c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0a63b134a21bd41c24780dcd36ecb430d504613.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91550	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	24		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fa03ed0d-ab8c-4f58-9f56-09b39f84524c/manifest					31
繪本孝經 ; (上)(下) / 高井蘭山撰 ; 前北斎為一畫圖	エホン コウキョウ	東京 : 須原屋新兵衛 ; 元治元年再刻	2冊(78丁) ; 23cm		成立年: 嘉永2. 備考: 丁付 28, 49	教訓	P767	高井蘭山撰 ; 前北斎為一畫圖	1864再刻	ehon kokyo	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a93486f5-29ce-463f-8fe7-743cade65a7a.json	a93486f5-29ce-463f-8fe7-743cade65a7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a93486f5-29ce-463f-8fe7-743cade65a7a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2533b22ff3ad9e72000bb157f23e8047f41387c5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91551	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	25		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a93486f5-29ce-463f-8fe7-743cade65a7a/manifest					59
佛説孝子經和解 ; (上)(下) / 僧純	ブッセツ コウシキョウ ワゲ	京都 : 永田調兵衛 ; 嘉永2	2巻2冊(105丁) ; 23cm	孝子經和解	成立年: 嘉永2	仏教	P768	僧純	1849	bussetsu koshikyo wage	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5e81dff3-95f0-4f80-a44a-8b7021f4229d.json	5e81dff3-95f0-4f80-a44a-8b7021f4229d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/5e81dff3-95f0-4f80-a44a-8b7021f4229d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/745beb9016c49cb358764af6141d6a9c701c346a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91552	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	26		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5e81dff3-95f0-4f80-a44a-8b7021f4229d/manifest					108
實語教童子訓	ジツゴキョウ ドウジクン	京都 : 須原屋平左衛門 ; 天明5	1冊(47丁) ; 23cm			教訓	P769		1785	jitsugokyo dojikun	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/306c3b25-690e-48eb-b11a-9a97be3cc700.json	306c3b25-690e-48eb-b11a-9a97be3cc700	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/306c3b25-690e-48eb-b11a-9a97be3cc700	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/359c44cad3ced548380209958e013c51e3965039.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91553	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	27		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/306c3b25-690e-48eb-b11a-9a97be3cc700/manifest					58
實語教童子教	ジツゴキョウ ドウシキョウ	江戸 : 文江堂吉田屋文三郎 ; 安政6	1冊(15丁) ; 25cm	實語教童子教合巻		教訓	P770		1859	jitsugokyo doshikyo	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86be0184-7a6a-4b61-9d0f-287e2942b8bc.json	86be0184-7a6a-4b61-9d0f-287e2942b8bc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/86be0184-7a6a-4b61-9d0f-287e2942b8bc	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b7bdbab15df37cc952ff1e789dbd9959a6ff5f5a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91554	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	28		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86be0184-7a6a-4b61-9d0f-287e2942b8bc/manifest					20
實語教童子教繪抄	ジツゴキョウ ドウジキョウ エショウ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(17丁) ; 23cm		備考: 9丁が欠落	教訓	P771			jitsugokyo dojikyo esho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8fd553dc-d19e-45ea-bacb-27d801c6d696.json	8fd553dc-d19e-45ea-bacb-27d801c6d696	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/8fd553dc-d19e-45ea-bacb-27d801c6d696	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aba13c33bd2a9ef77cce61caf718cef011dd5dae.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91555	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	29		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8fd553dc-d19e-45ea-bacb-27d801c6d696/manifest					19
曹大家女論語圖會 / 村田嘉言出像	ソウタイカ オンナ ロンゴ ズエ	大阪 : 加賀屋彌兵衛 ; 文政12	1冊(29丁) ; 26cm		成立年: 文政12	教訓	P745	村田嘉言出像	1829	sotaika onna rongo zue	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1ba4091-7252-446f-8634-8941d3252fe0.json	c1ba4091-7252-446f-8634-8941d3252fe0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/c1ba4091-7252-446f-8634-8941d3252fe0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e1d53c8a1494de57b5477f4c6d9a7c53628b48ec.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91531	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	3		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ba4091-7252-446f-8634-8941d3252fe0/manifest					36
畫本童子教 / 法橋玉山畫	エホン ドウシキョウ	浪華 : 鹽屋忠兵衛 ; 文化3	5巻5冊(96丁) ; 23cm	童子教畫本|繪本童子教	成立年: 文化3. 備考: 丁付 18, 20, 19, 15, 21	教訓	P772	法橋玉山畫	1806	ehon doshikyo	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b554748b-172c-46ac-87c1-836aad7e6f11.json	b554748b-172c-46ac-87c1-836aad7e6f11	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/b554748b-172c-46ac-87c1-836aad7e6f11	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e55071d1725526956ebf011f4eebb1321d071022.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91556	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	30		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b554748b-172c-46ac-87c1-836aad7e6f11/manifest					112
増補字盡童子教	ゾウホ ジヅクシ ドウジキョウ	京都 : 村上勘兵衛 ; 明治3	1冊(39丁) ; 23cm		備考: 寛政10年原版, 元治2年官許刻成, 明治3年改正		P773		1870	zoho jizukushi dojikyo	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0b1eaf12-a361-43ba-ac92-8ff115ad0cdb.json	0b1eaf12-a361-43ba-ac92-8ff115ad0cdb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/0b1eaf12-a361-43ba-ac92-8ff115ad0cdb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f031dfffb589771ef3d5abe5cd56d961b7fe55f5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91557	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	31		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0b1eaf12-a361-43ba-ac92-8ff115ad0cdb/manifest					43
廿四孝圖繪 / 南里亭其樂輯 ; 葛飾北斎畫	ニジュウシコウ ズエ	浪華 : 河内屋源七郎 ; 文政5	1冊(25丁) ; 22cm	繪本二十四孝	成立年: 文政5. 備考: 書名は題箋、版心による	教訓	P774	南里亭其樂輯 ; 葛飾北斎畫	1822	nijushiko zue	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1c61178-3f6b-4dd3-861e-85e71c016d37.json	d1c61178-3f6b-4dd3-861e-85e71c016d37	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d1c61178-3f6b-4dd3-861e-85e71c016d37	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3f97443e0482ced57768a32b45d066cd87241879.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91558	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	32		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1c61178-3f6b-4dd3-861e-85e71c016d37/manifest					29
分類二十四孝圖 ; (乾)(坤)  / 小田海僊畫 ; 長沙王	ブンルイ ニジュウシコウズ	京都 : 吉田屋治兵衛 ; 天保14	2巻2冊(76丁) ; 25cm	海僊畫譜	成立年: 天保14. 備考: 書名は題箋による	絵本	P775	小田海僊畫 ; 長沙王	1843	bunrui nijushikozu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/336d709d-aa1e-4e34-a2d2-324e2fe2fa57.json	336d709d-aa1e-4e34-a2d2-324e2fe2fa57	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/336d709d-aa1e-4e34-a2d2-324e2fe2fa57	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f73e756b559a1ba09f06a211551b581e869865f1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91559	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	33		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/336d709d-aa1e-4e34-a2d2-324e2fe2fa57/manifest					61
和俗童子訓 ; (仁)(義)(礼)(智)(信) / 貝原益軒篤信	ワゾク ドウジクン	皇都 : 永田調兵衛 ; [出版年不明]	5冊(122丁) ; 23cm			教訓	P776	貝原益軒篤信		wazoku dojikun	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b3752070-aba0-4c92-bfa6-c95219bdaa85.json	b3752070-aba0-4c92-bfa6-c95219bdaa85	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/b3752070-aba0-4c92-bfa6-c95219bdaa85	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1fc770691198a6508425fbc0fbbf285cfb468319.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91560	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	34		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b3752070-aba0-4c92-bfa6-c95219bdaa85/manifest					140
和俗童子訓 ; (一)(二) / 貝原篤信編録	ワゾク ドウジクン	[出版地不明] : [出版者不明] ; 明治26序	5巻5冊(35丁) ; 24cm		備考: 丁付 19, 16		P777	貝原篤信編録	1893序	wazoku dojikun	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c05cf8de-ee9c-42eb-96f1-37f5f9c5424e.json	c05cf8de-ee9c-42eb-96f1-37f5f9c5424e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/c05cf8de-ee9c-42eb-96f1-37f5f9c5424e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/091f199ed1b4c76940787302815b495f67d0f429.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91561	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	35		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c05cf8de-ee9c-42eb-96f1-37f5f9c5424e/manifest					40
幼學指南 / 王雲軒著 ; 高蘭山訳	ヨウガク シナン	[江戸] : 嵩山房 ; [出版年不明]	1冊(28丁) ; 23cm			教育	P778	王雲軒著 ; 高蘭山訳		yogaku shinan	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e6643e16-3a44-4de3-ab60-903d36d84bb0.json	e6643e16-3a44-4de3-ab60-903d36d84bb0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e6643e16-3a44-4de3-ab60-903d36d84bb0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/20537ea166d5cde27ac9913d5686187f072e5ca8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91562	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	36		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6643e16-3a44-4de3-ab60-903d36d84bb0/manifest					35
三教童喩 ; (上)(中)(下)(附録) / 思恩堂非得著 ; 芳田月長畫	サンキョウ ドウユ	大坂 : 大和屋四郎兵衛 ; 文政3	3巻付録1巻4冊(106丁) ; 23cm		成立年: 文政3. 備考: 丁付 18, 25, 29, 32	教訓	P779	思恩堂非得著 ; 芳田月長畫	1820	sankyo doyu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86ddecee-1fdc-4a60-886c-e5bfe8af8908.json	86ddecee-1fdc-4a60-886c-e5bfe8af8908	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/86ddecee-1fdc-4a60-886c-e5bfe8af8908	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72cae026b54e1ecfd2feadb09158ca1bc98c5da1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91563	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	37		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86ddecee-1fdc-4a60-886c-e5bfe8af8908/manifest					123
教訓道志る遍	キョウクン ミチシルベ	広島 : 世並屋伊兵衛 ; [出版年不明]	1冊(32丁) ; 22cm		成立年: 寛政3	教訓	P780			kyokun michishirube	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a0f34c44-2751-4f09-a2e2-34fa84860af5.json	a0f34c44-2751-4f09-a2e2-34fa84860af5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a0f34c44-2751-4f09-a2e2-34fa84860af5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/29b9c357d880c8486291006b7783a6493068a865.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91564	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	38		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a0f34c44-2751-4f09-a2e2-34fa84860af5/manifest					35
幼童訓	ヨウドウクン	[出版地不明] : [出版者不明] ; 明治3	1冊(25丁) ; 22cm		角書: 明治新撰. 備考: 見返し「大王操館塾蔵」とあり, 丁付 22, 3		P781		1870	yodokun	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c35cf4b0-1fcc-4492-a45d-b78020c88ef9.json	c35cf4b0-1fcc-4492-a45d-b78020c88ef9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/c35cf4b0-1fcc-4492-a45d-b78020c88ef9	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8006dd42c90ce4d47736e95d21efb833a004dd09.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91565	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	39		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c35cf4b0-1fcc-4492-a45d-b78020c88ef9/manifest					31
