タイトル,書名よみ,出版,形態,他の書名,注記,分類,原本請求記号,編著者等,出版年（西暦）,ローマ字タイトル,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
心學道歌圖繪,シンガク ドウカ ズエ,江戸 : 山田佐助 ; [出版年不明],1冊(50丁) ; 18cm,,,心学,P831,,,shingaku doka zue,dd48a5aa-6ee2-40d1-afc5-0cb174293b4b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/dd48a5aa-6ee2-40d1-afc5-0cb174293b4b,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4e58ef86bc5e53ab13b8d1efbc4c88396b91e897.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91614,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,89,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd48a5aa-6ee2-40d1-afc5-0cb174293b4b/manifest,,,,,54
孝子教 / 秋葉忠和大人述 ; 東條琴臺先生閲,コウシキョウ,江戸 : 須原屋伊八 ; [天保14],1冊(30丁) ; 26cm,童蒙必讀孝子教,備考: 見返しに「天保癸卯補刻」,往来物,P751,秋葉忠和大人述 ; 東條琴臺先生閲,1843,koshikyo,70e65bb3-9739-40e4-ab37-afb1ad49fb08,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/70e65bb3-9739-40e4-ab37-afb1ad49fb08,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/8cc7c755826d698dda92e48786b60b708d115244.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91536,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,9,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/70e65bb3-9739-40e4-ab37-afb1ad49fb08/manifest,,,,,34
誠忠義臣略傳 / 緑亭川柳輯 ; 歌川豊國[画],セイチュウ ギシン リャクデン,東都 : 山口屋藤兵衛 ; 弘化5,1冊(27丁) ; 19cm,,備考: 書名は題箋による,,P832,緑亭川柳輯 ; 歌川豊國[画],1848,seichu gishin ryakuden,30792465-6f47-468e-88ae-c8ee253bc7f0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/30792465-6f47-468e-88ae-c8ee253bc7f0,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b4a6ba3a8235125639bfd92a428a2ec0194d9890.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91615,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,90,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/30792465-6f47-468e-88ae-c8ee253bc7f0/manifest,,,,,30
百姓今川准状,ヒャクショウ イマガワ ナゾラエジョウ,江戸 : 耕書堂蔦屋重三郎 ; [出版年不明],1冊(16丁) ; 18cm,新撰百姓今川准状|新編鄙児小学百姓今川准状,成立年: 天明2,往来物,P833,,,hyakusho imagawa nazoraejo,7147212c-a2d9-4833-8d0d-c123eac723d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/7147212c-a2d9-4833-8d0d-c123eac723d7,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/64eb0d54ebfa7b79bd9cf9c352780066d442d5ec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91616,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,91,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7147212c-a2d9-4833-8d0d-c123eac723d7/manifest,,,,,18
日本名所鑑,ニホン メイショ カガミ,東都 : 三河屋甚助 ; 天保15,1冊(24丁) ; 19cm,,備考: 書名は見返し、題箋による,地誌,P834,,1844,nihon meisho kagami,5654c4ad-b7ff-44d5-9f0c-fa585b68a7fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/5654c4ad-b7ff-44d5-9f0c-fa585b68a7fb,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/9cf4d54b2117571182d1a6d43c0a623495247781.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91617,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,92,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5654c4ad-b7ff-44d5-9f0c-fa585b68a7fb/manifest,,,,,27
雑司谷詣 / 高井蘭山述,ゾウシガヤ モウデ,江戸 : 花屋久次郎 ; [出版年不明],1冊(16丁) ; 19cm,,成立年: 寛政7頃,往来物,P835,高井蘭山述,,zoshigaya mode,57c5a346-ddbb-4f40-ae25-6d2af58c64f3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/57c5a346-ddbb-4f40-ae25-6d2af58c64f3,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/aa2c31da8f96552cda0a233b6329450b56293d65.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91618,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,93,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/57c5a346-ddbb-4f40-ae25-6d2af58c64f3/manifest,,,,,19
竜田詣,タツタ モウデ,江戸 : 星運堂花屋久治郎 ; [出版年不明],1冊(11丁) ; 19cm,頭書繪入平仮名附新板竜田詣,,,P836,,,tatsuta mode,c99d72c8-8bad-4256-b3f8-b7ed44b48f06,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/c99d72c8-8bad-4256-b3f8-b7ed44b48f06,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/c733676696e2e817ca68bf44d5b97d7cb37eb098.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91619,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,94,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c99d72c8-8bad-4256-b3f8-b7ed44b48f06/manifest,,,,,14
五体名頭字,ゴタイ ナガシラジ,江戸 : 藤屋吉蔵 ; [出版年不明],1冊 ; 19cm,太字五體名頭,,往来物,P837,,,gotai nagashiraji,31b2e732-bb14-4e8b-9e5f-ab03f0d23cf0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/31b2e732-bb14-4e8b-9e5f-ab03f0d23cf0,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/9205b7cafc622fb1e41d70998e11517934f12ae5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91620,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,95,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/31b2e732-bb14-4e8b-9e5f-ab03f0d23cf0/manifest,,,,,24
皇朝三字經 / 百梅斎撰 ; 鷦鷯斎春水[訂][撰],コウチョウ サンジキョウ,東都 : 青雲堂 ; 嘉永6,1冊(43丁) ; 19cm,,成立年: 嘉永6,往来物,P838,百梅斎撰 ; 鷦鷯斎春水[訂][撰],1853,kocho sanjikyo,5f5cdfc7-5c11-4411-995a-61b449338aba,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/5f5cdfc7-5c11-4411-995a-61b449338aba,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/aef6c3421f1761b3e0b2e7daa0c0b48bd5cfc93a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91621,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,96,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5f5cdfc7-5c11-4411-995a-61b449338aba/manifest,,,,,48
千字文 / 孫丕顕編輯 ; 王其校閲,センジモン,東都 : 山本平吉 ; [出版年不明],1冊(23丁) ; 18cm,五體千字文,,,P839,孫丕顕編輯 ; 王其校閲,,senjimon,0b9d27d1-35e0-432d-99c9-afa68f0f2514,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/0b9d27d1-35e0-432d-99c9-afa68f0f2514,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/3689d90f4f7234451c91087b840852a58bc96550.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91622,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,97,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0b9d27d1-35e0-432d-99c9-afa68f0f2514/manifest,,,,,24
新撰五体千字文,シンセン ゴタイ センジモン,[出版地不明] : 山本平吉 ; 文政元,1冊(23丁) ; 19cm,重宝正字平仮名附真草篆書楷書角字,角書: 新撰,,P840,,1818,shinsen gotai senjimon,ec06063b-150b-4619-b6e7-addeb3c6b3f2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/ec06063b-150b-4619-b6e7-addeb3c6b3f2,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/7473a45b4b6d0e098cad03ae689bea9415683e69.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91623,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,98,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec06063b-150b-4619-b6e7-addeb3c6b3f2/manifest,,,,,25
千字文,センジモン,[江戸] : 三河屋甚七 ; 天保13,1冊(20丁) ; 19cm,千字文餘師,備考: 19丁落丁,,P841,,1842,senjimon,8bddacc4-290b-4768-b097-82379e94e4fe,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/8bddacc4-290b-4768-b097-82379e94e4fe,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/6a9491c530fd77bd42c1c7dbd1d4c112c133126f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91624,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,99,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8bddacc4-290b-4768-b097-82379e94e4fe/manifest,,,,,25
