書名	書名よみ	他の書名	責任表示	出版	注記	分類	原本請求記号	マイクロフィルム番号	形態	通番	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
俳諧掃除坊主	ハイカイ ソウジ ボウズ		大江皦平編 ; 十万堂翁序 ; 東桃庵破	京都 : ゐつゝや庄兵衛 刊		俳諧	A00:洒竹:3347	5-6-6	1冊;中	18	c381cd73-1131-575f-95be-bd92159c5334	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/c381cd73-1131-575f-95be-bd92159c5334	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72387524b44711abb3af30b8923d9550d3b609dc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169757		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169757/manifest					37
潮来図誌	イタコズシ		二峰編 ; 郷人蘆中狂渓序 ; 青山人,	二峰蔵梓 , 天保10 [1839] (序) 刊		地誌	A00:洒竹:268	5-10-18	1冊;小	19	d8273b57-732e-160d-17b2-149b20967c70	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/d8273b57-732e-160d-17b2-149b20967c70	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/827977075f0246b7d71c5731ce6c61f4f47c81cf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169745		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169745/manifest					23
頭陀にしき	ズダニシキ		六花庵乙児等著 ; 巴雪編 ; 芙蓉十里	京都 : 橘屋治兵衛 , 明和1 [1764] (序) 刊		俳諧	A00:洒竹:2408	2-28-3	1冊;中	2	b4093e0d-6e3d-2c59-43f9-07fb7ac3365a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/b4093e0d-6e3d-2c59-43f9-07fb7ac3365a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6ccb6b7306efb1390894f3c88c6c7b876fc375d8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169764		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169764/manifest					31
俳諧秘要書	ハイカイ ヒヨウショ			写	奥書:延享四年三月十五日誹林机墨翁授与小林鶴子丈	俳諧	A00:洒竹:1310	5-16-2	2冊;中	20	2d043411-3742-4133-62f0-3307a8c22ca2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/2d043411-3742-4133-62f0-3307a8c22ca2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8de4a09afd94c9af09b5d9fbf303e38f1a741fab.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169740		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169740/manifest					19
枝うつり	エダウツリ		東潮編, 序	元禄10 [1697] (本文) 刊		俳諧	A00:洒竹:419	7-23-11	1冊;中	21	559eaffd-1492-1b94-6175-fb2f6da3a5a2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/559eaffd-1492-1b94-6175-fb2f6da3a5a2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bc4c251c3a30e9a276a5baa06dfef3351ed69046.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169735		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169735/manifest					40
芋かしら	イモガシラ		露柱庵一宇編 ; 隣●下此林序 ; 百阿	京都 : 橘屋治兵衛 , 享保12 [1727] (跋) 刊		俳諧	A00:洒竹:168	9-2-12	1冊;中	22	6bc3fe2b-2cd7-7a63-5f5d-c8921e481716	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/6bc3fe2b-2cd7-7a63-5f5d-c8921e481716	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/565e9186145463d3b66ff129116e0066cc7f6955.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169742		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169742/manifest					51
新詠華紅葉	シンエイ ハナモミジ		桑名屋甚兵衛編	江戸 : 誉田屋久兵衛等 , 享保14 [1729] (奥) 刊		俳諧	A00:洒竹:591	9-18-6	1冊;中	23	74921972-a6fb-1735-26a3-300698aa6097	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/74921972-a6fb-1735-26a3-300698aa6097	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5aa509a86643e2420c928eefde3d15e32786882b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169751		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169751/manifest					37
俳諧仮名遣	ハイカイ カナヅカイ		高井蘭山編, 序 ; 山崎久作校	江戸 : 須原屋伊八 , 弘化4  [1847] (奥) 刊	横本	俳諧・語学	A00:洒竹:686	9-20-13	1冊;小	24	34b8cd0d-1edc-a011-6721-dd687954576b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/34b8cd0d-1edc-a011-6721-dd687954576b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/16ae667012034942a955d8c614cff8e7b7b20241.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169738		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169738/manifest					41
除元帖	ジョゲンチョウ		花実坊長隠編	芹沢彦七(彫) , 寛保2 [1742] (奥) 刊		俳諧	A00:洒竹:1825	10-9-21	1冊;小	25	5b7803ad-8f74-0ea3-6152-6b789fbf2c4f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/5b7803ad-8f74-0ea3-6152-6b789fbf2c4f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a52a3b2a02f13c8aa666eddd093559d00290c991.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169746		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169746/manifest					29
富士詣	フジモウデ		東潮編, 序	江戸 : 志村孫七 , 元禄5 [1692] (奥) 刊		俳諧	A00:洒竹:3216	10-16-4	1冊;中	26	5aa5004e-495f-367a-8154-181062d29803	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/5aa5004e-495f-367a-8154-181062d29803	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/37642a1895004110097464e4627770882c0c1c21.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169736		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169736/manifest					19
誹諧五元集	ハイカイ ゴゲンシュウ	其角附合集	宝晋斎其角著 ; 百萬坊旨原校, 序	江戸 ; 大坂 : 河内屋喜兵衛 , 延享4 [1747] (奥) 刊		俳諧	E32:322	5-16-1	4冊;大	27	c633cae1-2aab-2528-630b-8ae1deb27ce5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/c633cae1-2aab-2528-630b-8ae1deb27ce5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/52adf7f9ab240676d9a78fc383b4ffdd7358fbed.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169737		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169737/manifest					29
くまのからす	クマノガラス		寿柳軒南水編 ; 穉山痩夫序	万延1 [1860] (序) 刊		俳諧	E32:540	5-16-4	1冊;小	28	d3466cbc-6ea8-65ae-a156-d0da0e0f4172	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/d3466cbc-6ea8-65ae-a156-d0da0e0f4172	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/363e4d41ee3fda50b0fb85ffb8c49fca5f38061a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169748		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169748/manifest					35
善光寺紀行	ゼンコウジ キコウ		尭恵	写		俳諧	E32:546	9-10-6	1冊;大	29	c7db9875-0774-398d-5be0-a166d2c6a609	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/c7db9875-0774-398d-5be0-a166d2c6a609	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa67219fa5686e24f5ed52602b21826676a37e94.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169763		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169763/manifest					43
潮来集	イタコシュウ		一草編 ; 随斎夏成美序	江戸 ; 広井平八(彫) , 寛政5 [1793] 刊		俳諧	A00:洒竹:202	3-13-17	1冊;中	3	9e6d3fd2-7951-9c70-a546-dbcdce883757	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/9e6d3fd2-7951-9c70-a546-dbcdce883757	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3cfe0e057da96a40c70e20b9ba6ef57c3ba74f1c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169744		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169744/manifest					49
紀行第三天のはし立	キコウ ダイ3 アマ ノ ハシダテ		栗庵宇橋著	寛政8 [1796] (奥) 写		俳諧	E32:335	9-12-2	1冊;中	30	cde06131-a4a3-60e7-9a75-d711a2dd312e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/cde06131-a4a3-60e7-9a75-d711a2dd312e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f3447db7464953cb7d86ea4ab8a279f43411ce5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169732		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169732/manifest					19
暗夜訓蒙図彙	アンヤ キンモウ ズイ		百草舎芝立編, 序		宝暦9年江戸万屋弥市等板の複製	俳諧	E32:81	9-33-7	1冊;中	31	da89fb79-8e73-6252-0a92-f7883c5324bd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/da89fb79-8e73-6252-0a92-f7883c5324bd	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/866bf47b1e9cf4ae5c08c40e7afda310a90d4ea7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169733		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169733/manifest					29
東海道紀行	トウカイドウ キコウ	東海道紀行	文川堂野逸著, 序	写		紀行	A00:洒竹:3765	4-9-10	1冊;中	32	78433183-7857-1c61-65a9-fca501059705	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/78433183-7857-1c61-65a9-fca501059705	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3bbaf14d695051d6736961deb7d366efd1a203dc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169758		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169758/manifest					66
画入柳樽	エイリ  ヤナギダル					川柳	E32:547	10-17-23	3冊;小	33	16aaa071-3d67-855e-175e-ef30149434bb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/16aaa071-3d67-855e-175e-ef30149434bb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/024aecece7231a0675fa91ddc29eb885aec2e37d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169761		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169761/manifest					60
追福迎ひ船	ツイフク ムカイブネ		春風楼然斎編, 序	京都 : 橘屋治兵衛 , 文政10 [1827] (奥) 刊		俳諧	A00:洒竹:1127	4-3-10	1冊;中	4	9902e869-01e1-2df4-964f-a2e66d0a31f6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/9902e869-01e1-2df4-964f-a2e66d0a31f6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a7cee28b20b455bdc534532534f618cd963a37a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169760		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169760/manifest					13
志茂能者那	シモノハナ		湖嵐著 ; 湖暁編 ; 晋阿, 五升庵序	京都 : 橘屋治兵衛 , 文化7 [1810] (序) 刊	湖嵐二十五回忌追善集	俳諧	A00:洒竹:1573	4-5-9	1冊;中	5	dc2fda64-8660-40e8-3f82-543ff5306baf	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/dc2fda64-8660-40e8-3f82-543ff5306baf	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e6f7cf3ff5c7c8ba97326323db506a04f9c5fc9f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169755		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169755/manifest					30
追善残菊集	ツイゼン ザンギクシュウ		再庵遊孚坊 ; 隣山居李径編 ; 李径序	嘉永5 [1852] (序) 刊	十方庵十三回忌追善集	俳諧	A00:洒竹:1344	4-5-11	1冊;中	6	a9145383-0c17-641e-9593-8a774f1a978c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/a9145383-0c17-641e-9593-8a774f1a978c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c8d716d3cafe48e122acd522381e32a0c72c3b8e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169762		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169762/manifest					15
俳諧春の水	ハイカイ ハル ノ ミズ		千魚編 ; 白雲序 ; 百里跋	享保11 [1726] (序) 刊	琴風追善集	俳諧	A00:洒竹:2767	4-5-12	1冊;中	7	2b227d36-9e56-4e85-6321-889676e15fdd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/2b227d36-9e56-4e85-6321-889676e15fdd	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c63f7690300a49f4bfa1c31483ccbef755e818ca.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169739		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169739/manifest					14
