書名,書名よみ,他の書名,責任表示,出版,注記,分類,原本請求記号,マイクロフィルム番号,形態,通番,サムネイル,マニフェストURI,ID,所蔵,コレクション名,アイテムURL,利用条件,機械可読データ,サイトURL,viewingDirection,年
くまのからす,クマノガラス,,寿柳軒南水編 ; 穉山痩夫序,万延1 [1860] (序) 刊,,俳諧,E32:540,5-16-4,1冊;小,28,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169748/kuma001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169748/manifest,d3466cbc-6ea8-65ae-a156-d0da0e0f4172,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/d3466cbc-6ea8-65ae-a156-d0da0e0f4172,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169748,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
善光寺紀行,ゼンコウジ キコウ,,尭恵,写,,俳諧,E32:546,9-10-6,1冊;大,29,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169763/zenko001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169763/manifest,c7db9875-0774-398d-5be0-a166d2c6a609,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/c7db9875-0774-398d-5be0-a166d2c6a609,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169763,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
潮来集,イタコシュウ,,一草編 ; 随斎夏成美序,"江戸 ; 広井平八(彫) , 寛政5 [1793] 刊",,俳諧,A00:洒竹:202,3-13-17,1冊;中,3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169744/itako001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169744/manifest,9e6d3fd2-7951-9c70-a546-dbcdce883757,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/9e6d3fd2-7951-9c70-a546-dbcdce883757,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169744,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
紀行第三天のはし立,キコウ ダイ3 アマ ノ ハシダテ,,栗庵宇橋著,寛政8 [1796] (奥) 写,,俳諧,E32:335,9-12-2,1冊;中,30,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169732/amano001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169732/manifest,cde06131-a4a3-60e7-9a75-d711a2dd312e,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/cde06131-a4a3-60e7-9a75-d711a2dd312e,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169732,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
暗夜訓蒙図彙,アンヤ キンモウ ズイ,,"百草舎芝立編, 序",,宝暦9年江戸万屋弥市等板の複製,俳諧,E32:81,9-33-7,1冊;中,31,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169733/anya001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169733/manifest,da89fb79-8e73-6252-0a92-f7883c5324bd,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/da89fb79-8e73-6252-0a92-f7883c5324bd,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169733,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
東海道紀行,トウカイドウ キコウ,東海道紀行,"文川堂野逸著, 序",写,,紀行,A00:洒竹:3765,4-9-10,1冊;中,32,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169758/tokai001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169758/manifest,78433183-7857-1c61-65a9-fca501059705,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/78433183-7857-1c61-65a9-fca501059705,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169758,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
画入柳樽,エイリ  ヤナギダル,,,,,川柳,E32:547,10-17-23,3冊;小,33,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169761/yanag101.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169761/manifest,16aaa071-3d67-855e-175e-ef30149434bb,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/16aaa071-3d67-855e-175e-ef30149434bb,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169761,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
追福迎ひ船,ツイフク ムカイブネ,,"春風楼然斎編, 序","京都 : 橘屋治兵衛 , 文政10 [1827] (奥) 刊",,俳諧,A00:洒竹:1127,4-3-10,1冊;中,4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169760/tsuif001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169760/manifest,9902e869-01e1-2df4-964f-a2e66d0a31f6,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/9902e869-01e1-2df4-964f-a2e66d0a31f6,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169760,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
志茂能者那,シモノハナ,,"湖嵐著 ; 湖暁編 ; 晋阿, 五升庵序","京都 : 橘屋治兵衛 , 文化7 [1810] (序) 刊",湖嵐二十五回忌追善集,俳諧,A00:洒竹:1573,4-5-9,1冊;中,5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169755/shimo001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169755/manifest,dc2fda64-8660-40e8-3f82-543ff5306baf,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/dc2fda64-8660-40e8-3f82-543ff5306baf,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169755,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
追善残菊集,ツイゼン ザンギクシュウ,,再庵遊孚坊 ; 隣山居李径編 ; 李径序,嘉永5 [1852] (序) 刊,十方庵十三回忌追善集,俳諧,A00:洒竹:1344,4-5-11,1冊;中,6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169762/zankik001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169762/manifest,a9145383-0c17-641e-9593-8a774f1a978c,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/a9145383-0c17-641e-9593-8a774f1a978c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169762,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
俳諧春の水,ハイカイ ハル ノ ミズ,,千魚編 ; 白雲序 ; 百里跋,享保11 [1726] (序) 刊,琴風追善集,俳諧,A00:洒竹:2767,4-5-12,1冊;中,7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169739/haruno001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169739/manifest,2b227d36-9e56-4e85-6321-889676e15fdd,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/2b227d36-9e56-4e85-6321-889676e15fdd,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169739,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
誹諧中道集,ハイカイ チュウドウシュウ,,"東雲軒風鳴編, 序 ; 備山人高吉序 ;",正徳4 [1714] (序) 刊,,俳諧,A00:洒竹:2305,4-7-8,1冊;大,8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169734/chudo001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169734/manifest,0f5d6c1e-78a1-5fec-8935-8dc8cf2d7146,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/0f5d6c1e-78a1-5fec-8935-8dc8cf2d7146,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169734,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
年代不明俳書目録,ネンダイ フメイ ハイショ モクロク,,岩本震五編,写,,俳諧,A00:洒竹:2689,4-9-8,1冊;中,9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169741/hmoku001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169741/manifest,230143a6-7fdf-37a3-91d7-e1fff9d35c0b,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/230143a6-7fdf-37a3-91d7-e1fff9d35c0b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169741,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
