タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
〔阿部中佐より平賀への書翰〕,,21480201,書翰,罫紙ペン書き・封筒,3枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|music|font|paper|document|line|handwriting|area|writing|material|diagram|product|angle|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b107374d-16a5-4ba3-aa3d-bec3792cafb5.json,b107374d-16a5-4ba3-aa3d-bec3792cafb5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b107374d-16a5-4ba3-aa3d-bec3792cafb5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/af456335163e0d049b6f74ee2f10be8a699732f1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109174,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109174/manifest,,,,,4
〔砲力諸数値一覧表(安芸)〕,,21480301,メモ,罫紙鉛筆書き,1枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,music|text|sheet music|handwriting|paper|line|document|font|material|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5144a9f3-cd2f-4b81-ac7b-19ba64ea8d39.json,5144a9f3-cd2f-4b81-ac7b-19ba64ea8d39,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5144a9f3-cd2f-4b81-ac7b-19ba64ea8d39,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/862dbb5b9564f9b45075eeb321284d05055232e6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109175,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109175/manifest,,,,,1
〔砲塔機構図〕,,21480401,メモ,罫紙鉛筆書き,2枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|structure|font|design|paper|diagram|product|pattern|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b076bf87-ec07-44a3-9047-5cb3673249f4.json,b076bf87-ec07-44a3-9047-5cb3673249f4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b076bf87-ec07-44a3-9047-5cb3673249f4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dde7e86866ba158e8dca73f0955d80808044fc0e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109176,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109176/manifest,,,,,1
6-8-15 from菱川.,,21480501,メモ,罫紙ペン書き,1枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|font|paper|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/320a9cc5-a66a-4f84-8244-4a20f6cd40a7.json,320a9cc5-a66a-4f84-8244-4a20f6cd40a7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/320a9cc5-a66a-4f84-8244-4a20f6cd40a7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b44328ee82c225f8a54ecf42ae71c67e28d859e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109177,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109177/manifest,,,,,1
〔砲塔数値一覧表など〕,,21480601,メモ,罫紙ペン・鉛筆,6枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|font|paper|product|brand|material|diagram|angle|document|rectangle|structure|black and white|design|line|plan|pattern|music|sheet music|handwriting,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56e26de6-79b8-4020-a1e8-ee6bf95a82e7.json,56e26de6-79b8-4020-a1e8-ee6bf95a82e7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/56e26de6-79b8-4020-a1e8-ee6bf95a82e7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/df912be1271fc59c7733fe646368a1e0eb807bc8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109178,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109178/manifest,,,,,4
五十二.五口径 四十糎 三連装 俯五・仰十五度間任意角装填式塔 砲塔計画図,1928-05-10,21480701,図面,図面青焼き,1枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/46b0e031-ed22-473f-b34e-6fd2f94ed66f.json,46b0e031-ed22-473f-b34e-6fd2f94ed66f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/46b0e031-ed22-473f-b34e-6fd2f94ed66f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/12abd77f710fdc1c31fb08fb3a56c4dacde60cf5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109179,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109179/manifest,,,,,1
VICKERS LIMITED. Information requires by Japanese Naval Office:- Letter dated 4/4/24,,21480801,一覧表,手書き青焼き,1枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,(a):1924,2007,text|font|black and white|pattern,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/960651d5-9d11-4987-b535-ba5692623ad6.json,960651d5-9d11-4987-b535-ba5692623ad6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/960651d5-9d11-4987-b535-ba5692623ad6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ae898ed0be3e760b944bdfb216464bf91f2c612d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109180,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109180/manifest,,,,,1
〔砲塔機構図〕,,21480901,メモ,罫紙ペン・鉛筆,6枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|font|paper|document|music|black and white|angle|diagram|design|line|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b92101e1-8d36-47bd-85b0-e9899ed1f9b5.json,b92101e1-8d36-47bd-85b0-e9899ed1f9b5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b92101e1-8d36-47bd-85b0-e9899ed1f9b5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/205f05af174186ba4b132eac43a591732d52e7f2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109181,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109181/manifest,,,,,3
〔砲塔機構図〕,,21481001,メモ,罫紙ペン・鉛筆,13枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|music|font|paper|document|angle|writing|line|material|handwriting|black and white|design|pattern|rectangle|product|monochrome|diagram|square|paper product|structure,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7b0d9648-f626-4d4c-bf09-f5eaa42eb9ca.json,7b0d9648-f626-4d4c-bf09-f5eaa42eb9ca,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/7b0d9648-f626-4d4c-bf09-f5eaa42eb9ca,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90037347a5d8ca7079d9ad3270a24e983c0c721a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109182,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109182/manifest,,,,,9
砲身固有振動数測定表,,21481101,図面,図面青焼き,3枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/64274f0c-2470-4d72-aeae-f16c001951c7.json,64274f0c-2470-4d72-aeae-f16c001951c7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/64274f0c-2470-4d72-aeae-f16c001951c7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db2c6cc111b264694d7f34f0b1a23f2b0cc389bf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109183,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109183/manifest,,,,,3
〔砲力諸数値一覧表〕,,21481201,曲線図,罫紙鉛筆,1枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,black and white|line|pattern|diagram|paper|design|triangle|area|angle|circle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4cfdde6a-729d-4a4a-9e58-b39ada667388.json,4cfdde6a-729d-4a4a-9e58-b39ada667388,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/4cfdde6a-729d-4a4a-9e58-b39ada667388,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e433b7df56393782e8f78a54676abc2f85228ef0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109184,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109184/manifest,,,,,1
〔平賀と金田少将トノ往復文書〕,,21481301,メモ,トレペン・罫紙鉛筆・ペン,6枚,「艦船搭載発電機一覧表」並び〔砲塔関係〕,軍艦構造:砲熕,東京大学柏図書館,,,,2007,text|font|product|paper|document|angle|music|diagram|rectangle|paper product|design|black and white|drawing|sketch|plan|line,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7382953e-5806-43bf-9b78-4a89897c46c6.json,7382953e-5806-43bf-9b78-4a89897c46c6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/7382953e-5806-43bf-9b78-4a89897c46c6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b24c2a7d7cba4b37d68ae86f496514fb2d7c636b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109185,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109185/manifest,,,,,6
Estimated Weight and Position of Center of Gravity,1918-02-25,21490101,図表,英文タイプ,24枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/71c2f25a-6dc7-4230-a630-3c6836c603bc.json,71c2f25a-6dc7-4230-a630-3c6836c603bc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/71c2f25a-6dc7-4230-a630-3c6836c603bc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/40d3c40062b7ff86926920972d3f57d508b70c7b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109186,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109186/manifest,,,,,12
New Design Nagato type 33800T 27Knots,1917-03-28,21490201,計算書,手書き,16枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,paper|product|design|black and white|font|angle|drawing|brand|text|music|diagram|document|pattern,http://dbpedia.org/resource/Japanese_battleship_Mutsu|http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1f4f4e0-797e-444d-9a28-f1f5fa9e0f74.json,a1f4f4e0-797e-444d-9a28-f1f5fa9e0f74,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/a1f4f4e0-797e-444d-9a28-f1f5fa9e0f74,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/66f5c88ae8576192645a3ceaa2e7ddfe89926c0b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109187,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109187/manifest,,,,,8
(長門とA125の諸数値比較),1917-06-11,21490301,表,英文タイプ,3枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|paper|document|font|material|product|music|brand,http://dbpedia.org/resource/Japanese_battleship_Mutsu|http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3c0b3daa-7ded-4adc-9a6c-b9b4cdf28673.json,3c0b3daa-7ded-4adc-9a6c-b9b4cdf28673,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/3c0b3daa-7ded-4adc-9a6c-b9b4cdf28673,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/49d27f273f543c0361dab15421bf9ce5d013b54c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109188,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109188/manifest,,,,,2
Comparison of Weight in Normal Condition.,1917-06-12,21490401,表,英文タイプ,1枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|paper|document|product|brand,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec8ea16c-df57-4b25-92f7-913c9f0e34ff.json,ec8ea16c-df57-4b25-92f7-913c9f0e34ff,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ec8ea16c-df57-4b25-92f7-913c9f0e34ff,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6e4a06317aba09c2eab7582757ce134233e8cef2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109189,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109189/manifest,,,,,1
"""A125"" 700'x102'x29''-6'x33,800T.Position of C.G.",1917-06-14,21490501,計算書,手書き,1枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|paper|document|font|material|music|paper product|angle,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f9a2adcb-3719-44a4-80d6-e7b1bf05f8e6.json,f9a2adcb-3719-44a4-80d6-e7b1bf05f8e6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f9a2adcb-3719-44a4-80d6-e7b1bf05f8e6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a1a2f4c52a701ef13d76499a9366da6b36880c1d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109190,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109190/manifest,,,,,1
Length of Prop.shaft.,,21490601,表,手書き,1枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|music|paper|document|line|handwriting|material|angle|paper product,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c8cfe49c-15a9-4f9d-a0fa-38c885abd083.json,c8cfe49c-15a9-4f9d-a0fa-38c885abd083,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/c8cfe49c-15a9-4f9d-a0fa-38c885abd083,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bac298f340934c72578271f70735193534280c62.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109191,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109191/manifest,,,,,1
"""A125""26.5Knots,5□33800Tons,",1917-06-12,21490701,計算書,手書き,11枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|music|paper|design|line|document|pattern|angle|product|rectangle|brand|drawing|diagram|black and white|artwork,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9f786591-af6d-4959-ac62-7f4a65523558.json,9f786591-af6d-4959-ac62-7f4a65523558,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/9f786591-af6d-4959-ac62-7f4a65523558,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ba7d8631a19f1b2bd18f77c8417fd13ba400fbc3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109192,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109192/manifest,,,,,13
(A125説明下書き),,21490801,説明書,手書き,9枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,21590401と同一の表が付属,2007,text|font|paper|document|product|writing|handwriting|angle|paper product|rectangle|brand,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/25968bd9-8fca-413f-a901-bb8d0dd89c91.json,25968bd9-8fca-413f-a901-bb8d0dd89c91,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/25968bd9-8fca-413f-a901-bb8d0dd89c91,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e3e8b3a704ae045ea2af85547c5d1bc80ef27914.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109193,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109193/manifest,,,,,4
(A125意見書下書き),1917-06-21,21490802,意見書,手書き,4枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|paper|product|angle|rectangle|drawing|material|document|handwriting|brand|music|writing,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/82309091-e6cb-419d-9b24-a93361a12f35.json,82309091-e6cb-419d-9b24-a93361a12f35,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/82309091-e6cb-419d-9b24-a93361a12f35,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1e4d2cce87b37abeb1c7d5255a316976a6345600.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109194,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109194/manifest,,,,,6
(長門とA125の諸数値比較),1917-06-11,21490803,表,活版,3枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,21590301と同一の表,2007,text|paper|document|font|material|product|brand,http://dbpedia.org/resource/Japanese_battleship_Mutsu|http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/debc356c-0ffe-468c-b6cf-2babd310b651.json,debc356c-0ffe-468c-b6cf-2babd310b651,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/debc356c-0ffe-468c-b6cf-2babd310b651,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6914ca32c14555fe79a1fff2ba7f678e2024fca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109195,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109195/manifest,,,,,2
〔中央断面図〕,,21490901,図面,手書き,1枚,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,black and white|drawing|line|monochrome|pattern|paper|angle|artwork,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7145c51a-1fd0-4747-ae95-74357dfe7dbf.json,7145c51a-1fd0-4747-ae95-74357dfe7dbf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/7145c51a-1fd0-4747-ae95-74357dfe7dbf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f4a7101e694f3e03e2753627bde7e1f08c14a51c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109196,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109196/manifest,,,,,1
