タイトル	請求記号	画像注記	シリーズ名	編著者	出版社	サイズ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
日刊雜誌(NOTE・BOOK)	GP130:N73:1		日刊雜誌 形式考案 不成就記念保存	[宮武外骨]		1冊(54p) 20cm×14.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b343ba8e-0079-49ed-b9fa-dd6d4d4af71b.json	b343ba8e-0079-49ed-b9fa-dd6d4d4af71b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/b343ba8e-0079-49ed-b9fa-dd6d4d4af71b	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a9121d17f58c3e2b97efd9f04dcbfae980cac207.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72798	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	283		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b343ba8e-0079-49ed-b9fa-dd6d4d4af71b/manifest					16
日刊雜誌	GP130:N73:2					1枚(4面) 40cm×27.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/decae223-53d8-48de-aa2b-b4463a6cb120.json	decae223-53d8-48de-aa2b-b4463a6cb120	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/decae223-53d8-48de-aa2b-b4463a6cb120	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/76d64c28fb86ae4be0b5d405f58b23da113dbb2d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72799	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	284		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/decae223-53d8-48de-aa2b-b4463a6cb120/manifest					4
日刊雜誌	GP130:N73:3					2枚(4面) 55cm×40.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c63aa9e7-298f-4528-8469-2eb8c5ef84c5.json	c63aa9e7-298f-4528-8469-2eb8c5ef84c5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c63aa9e7-298f-4528-8469-2eb8c5ef84c5	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f0460040a344547de1142fd1b6160bcdfa19867b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72800	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	285		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c63aa9e7-298f-4528-8469-2eb8c5ef84c5/manifest					12
大家族精神	GP130:N73:4					1枚(4面) 41cm×28cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/746f7c63-cb89-407d-b3d1-875a10c52ed2.json	746f7c63-cb89-407d-b3d1-875a10c52ed2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/746f7c63-cb89-407d-b3d1-875a10c52ed2	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/edf71c2c71d912607d58d385615e2b4d211a139a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72801	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	286		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/746f7c63-cb89-407d-b3d1-875a10c52ed2/manifest					4
国民新聞	GP130:N73:5					2枚(8面) 54cm×41.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/902096bb-b136-4635-adc7-9b7748e3a481.json	902096bb-b136-4635-adc7-9b7748e3a481	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/902096bb-b136-4635-adc7-9b7748e3a481	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/81034c926a4f9aa0bb94b865180fe3bc72b9e3fa.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72802	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	287		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/902096bb-b136-4635-adc7-9b7748e3a481/manifest					24
新愛知	GP130:N73:6					1枚(4面) 41cm×29cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f54a93d7-6481-4e21-a74c-7780ec3c9f15.json	f54a93d7-6481-4e21-a74c-7780ec3c9f15	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f54a93d7-6481-4e21-a74c-7780ec3c9f15	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eaba2f69c773819ee50103b788d7d3090accc9ca.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72803	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	288		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f54a93d7-6481-4e21-a74c-7780ec3c9f15/manifest					6
外装(日刊雜誌 形式考案 不成就記念保存)	GP130:N73:7					2点,27cm×195cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/29319a8c-2f50-47df-9ae0-d929b9cc982c.json	29319a8c-2f50-47df-9ae0-d929b9cc982c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/29319a8c-2f50-47df-9ae0-d929b9cc982c	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ba6d29e6c96521aa5ec469cbd5a651a4646d5c89.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72804	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	289		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/29319a8c-2f50-47df-9ae0-d929b9cc982c/manifest					4
筆写原稿「慶應義塾生徒諸君ニ告グ(明治十二年五月十八日發行『近時評論』第百九十五號所載)」	GP040:F85:08		福澤攻撃全集資料	尼子橋一郎		4枚 /形態:パンフレット /39.5cm×23.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/234da146-94db-47e0-abe2-053cffd9f475.json	234da146-94db-47e0-abe2-053cffd9f475	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/234da146-94db-47e0-abe2-053cffd9f475	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4426b7a4be28f0a50ff30bc4e45e5d092b49123e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72640	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	29		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/234da146-94db-47e0-abe2-053cffd9f475/manifest					4
[少年少女雑誌袋文庫関係資料]	GP130:Sh96					1綴(13枚) 36.5cm×26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e170237b-aa67-4c37-98b8-8721ed15092d.json	e170237b-aa67-4c37-98b8-8721ed15092d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/e170237b-aa67-4c37-98b8-8721ed15092d	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/51dcaa10c5fb3ec3769bb87a071e9eff974aaf55.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72805	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	290		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e170237b-aa67-4c37-98b8-8721ed15092d/manifest					28
滑稽新聞 没書 川施餓鬼	GP140:Ko43					1点 27.5cm×14.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fef52df0-5411-433a-9d1f-310ea268560d.json	fef52df0-5411-433a-9d1f-310ea268560d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/fef52df0-5411-433a-9d1f-310ea268560d	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/298285dd35043af417fdfe86f71d2529ecd5005a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72806	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	291		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fef52df0-5411-433a-9d1f-310ea268560d/manifest					4
新聞代價取立業印刷物	GP140:Sh59			西村四郎(宮武外骨)		1枚 41.5cm×30cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0a421bc-8528-449c-bf2c-997cc8b4429c.json	d0a421bc-8528-449c-bf2c-997cc8b4429c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0a421bc-8528-449c-bf2c-997cc8b4429c	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc619e3d069097722b634ca7aa6126f5092b2ede.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72807	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	292		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0a421bc-8528-449c-bf2c-997cc8b4429c/manifest					1
頓智協會判取帳 表紙	GP140:To63			宮武外骨		1点 28cm×39cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/303ecfe9-861f-404a-9fd0-104285425aba.json	303ecfe9-861f-404a-9fd0-104285425aba	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/303ecfe9-861f-404a-9fd0-104285425aba	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/25431d2e31bff37c1e5c5732ed68aa040609bb54.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72808	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	293		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/303ecfe9-861f-404a-9fd0-104285425aba/manifest					4
[博報堂新築記念資料]博報堂新築工事概要 昭和五年六月 瀨木商事合名會社	GP150:H19:1		[博報堂新築記念資料]			1綴(16枚) 19.5cm×13.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bc3d358f-7fa4-4f2f-82f8-8da04ae828d8.json	bc3d358f-7fa4-4f2f-82f8-8da04ae828d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/bc3d358f-7fa4-4f2f-82f8-8da04ae828d8	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2ddafe73089a5eff7e87a6967e6e9d11ee7beb66.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72809	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	294		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bc3d358f-7fa4-4f2f-82f8-8da04ae828d8/manifest					17
創業三十五週年新築落成祝賀會餘興番組	GP150:H19:2		[博報堂新築記念資料]	内外通信社 博報堂		1枚 17.5cm×22cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/203d4f04-7541-4720-9cb2-5df2ab7a1b2f.json	203d4f04-7541-4720-9cb2-5df2ab7a1b2f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/203d4f04-7541-4720-9cb2-5df2ab7a1b2f	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e877bd32e95f89b594c6033aa4ccf944744afc25.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72810	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	295		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/203d4f04-7541-4720-9cb2-5df2ab7a1b2f/manifest					3
新聞切抜「瀨木氏が帝大に十五万円寄付 明治文化のため」	GP150:H19:3		[博報堂新築記念資料]			1枚 9cm×11cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/977f415c-8285-47fa-9e71-808150dc1cbb.json	977f415c-8285-47fa-9e71-808150dc1cbb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/977f415c-8285-47fa-9e71-808150dc1cbb	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/730a504060417280e46b4908927a111c82a710d6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72811	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	296		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/977f415c-8285-47fa-9e71-808150dc1cbb/manifest					1
[図書文化祭パンフレット]	GP150:H19:4		[博報堂新築記念資料]			8点 16cm×11cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ee5b30ee-8c4c-4dac-9166-214424de308f.json	ee5b30ee-8c4c-4dac-9166-214424de308f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ee5b30ee-8c4c-4dac-9166-214424de308f	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c83a35ab9639f24a6da1e5f9dd452d2cd62324cd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72812	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	297		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ee5b30ee-8c4c-4dac-9166-214424de308f/manifest					16
[宮武外骨宛招待状(博報堂新社屋落成披露及び祝賀会)]	GP150:H19:5		[博報堂新築記念資料]			1枚 17cm×12cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/329b4355-3714-4f4c-bc7a-1c3f9d6bcbe4.json	329b4355-3714-4f4c-bc7a-1c3f9d6bcbe4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/329b4355-3714-4f4c-bc7a-1c3f9d6bcbe4	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7fbf0f15cd4ecab9e58286d2ff308f3f429c3cff.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72813	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	298		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/329b4355-3714-4f4c-bc7a-1c3f9d6bcbe4/manifest					2
外装([博報堂新築記念資料])	GP150:H19:6		[博報堂新築記念資料]			8枚 23cm×15cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7859c50c-f855-4e06-b698-fc7f0d60f773.json	7859c50c-f855-4e06-b698-fc7f0d60f773	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/7859c50c-f855-4e06-b698-fc7f0d60f773	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0d0b64a1ef9730e2461e071777c1105760562e39.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72814	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	299		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7859c50c-f855-4e06-b698-fc7f0d60f773/manifest					1
[玉觴会(第1回)案内状]	GP020:G99			渡辺霞亭,宮武外骨幹事		1枚 18×25cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d2d2ada1-0d93-4b7e-99f0-ea641e5b9881.json	d2d2ada1-0d93-4b7e-99f0-ea641e5b9881	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d2d2ada1-0d93-4b7e-99f0-ea641e5b9881	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6959c42152a1094bd03571461e3fbe6fd36e3790.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72617	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	3		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d2d2ada1-0d93-4b7e-99f0-ea641e5b9881/manifest					4
「近事評論」196号(三田大爺官金二十五万圓ヲ借入ントス)	GP040:F85:09		福澤攻撃全集資料			1綴(10丁) /形態:冊子 /18.5cm×12cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bea6f76a-e9b9-4828-ac2a-758c626f53f1.json	bea6f76a-e9b9-4828-ac2a-758c626f53f1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/bea6f76a-e9b9-4828-ac2a-758c626f53f1	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cd0922bb30b71b9ecb8b3d819010518712f61efb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72641	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	30		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bea6f76a-e9b9-4828-ac2a-758c626f53f1/manifest					11
雑誌創刊片紙	GP150:Z1					7点(劣化による断簡のため8枚) 82cm×33cm(最大)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fb04f8f6-a6f8-4503-997d-4e8bad511d1e.json	fb04f8f6-a6f8-4503-997d-4e8bad511d1e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/fb04f8f6-a6f8-4503-997d-4e8bad511d1e	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/38d8e1927d8bd5a9914a850ffa92b12e7f8e1ec3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72815	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	301		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fb04f8f6-a6f8-4503-997d-4e8bad511d1e/manifest					16
外装バインダー(「雑誌発行宣伝広告集」)	GP150:Z12:0		雑誌発行宣伝広告集 明治大正昭和間			1綴(台紙ほか20枚)/形態:バインダー/31cm×23cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3d135e0b-f9fc-4169-820a-6cd9b4fd66be.json	3d135e0b-f9fc-4169-820a-6cd9b4fd66be	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3d135e0b-f9fc-4169-820a-6cd9b4fd66be	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d771242e4dc2aa61f520edb693d3f559b65c70c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72816	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	302		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3d135e0b-f9fc-4169-820a-6cd9b4fd66be/manifest					26
[豫告「骨董雜誌」]	GP150:Z12:01		雑誌発行宣伝広告集 明治大正昭和間			1枚/形態:パンフレット/23cm×39cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d64cb0b7-9996-4724-83e0-91e2a58c1255.json	d64cb0b7-9996-4724-83e0-91e2a58c1255	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d64cb0b7-9996-4724-83e0-91e2a58c1255	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e72513a253ac7380c0b689a2cbd36eab5395e491.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72817	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	303		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d64cb0b7-9996-4724-83e0-91e2a58c1255/manifest					1
