タイトル,書名よみ,形態,他の書名,注記,分類,OPAC,請求記号,Source Identifier,Date,Publisher,Type,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:transcription,dcterms:extent,dcndl:alternative,archiveshub:note,dcterms:subject,dcterms:references,dcndl:callNumber,dcndl:sourceIdentifier,dcterms:date,dcterms:publisher,dcterms:type,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,50331
教訓角力取艸 / 十返舎一九作,きょうくんすもうとりぐさ,27丁 : 挿絵 ; 19cm,敎訓相撲取艸|角力取艸取組,内題: 「角力取艸取組」|刊記: 東都・濱松屋幸助梓|刊年: 享和四年,滑稽本,,E22:776:471|A00:霞亭:471,東京大学総合図書館霞亭文庫目録471,享和四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b518274a-3b9e-4222-94a0-81dcd8c35d89.json,b518274a-3b9e-4222-94a0-81dcd8c35d89,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/b518274a-3b9e-4222-94a0-81dcd8c35d89,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/103c31bdceb6ddfeb2f1e85ae1ccc31bd23c62e2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40040,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0471,1804,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b518274a-3b9e-4222-94a0-81dcd8c35d89/manifest,,,,,30
仮名手本穿鑿抄 / 瀬川路考作 ; 篠田槿々堂編,かなでほんせんさくしょう,18丁 : 挿絵 ; 19cm,假名手本穿鑿抄,刊年: 文化元年,滑稽本,,E22:776:472|A00:霞亭:472,東京大学総合図書館霞亭文庫目録472,文化元年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a65772b9-c7a8-469d-bb87-9287d479af9d.json,a65772b9-c7a8-469d-bb87-9287d479af9d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/a65772b9-c7a8-469d-bb87-9287d479af9d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aa2e6de8f3ec74429384b18dad7689a24499c1dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40041,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0472,1804,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a65772b9-c7a8-469d-bb87-9287d479af9d/manifest,,,,,21
叶福助畧縁記 / 振鷺亭主人作,かのうふくすけりゃくえんぎ,30丁 : 挿絵 ; 16cm,,刊年: 文化二年,滑稽本,,E22:776:473|A00:霞亭:473,東京大学総合図書館霞亭文庫目録473,文化二年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/efac942b-341c-450f-bbbe-b8469a6a884e.json,efac942b-341c-450f-bbbe-b8469a6a884e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/efac942b-341c-450f-bbbe-b8469a6a884e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/19dfce7925b7a6c7b0e36da6833b3e4aee5d5504.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40042,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0473,1805,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/efac942b-341c-450f-bbbe-b8469a6a884e/manifest,,,,,34
見通鄙戯場 / 柳陽舎薗鷄作,ありのままいなかしばい,34丁 : 挿絵 ; 17cm,見通俄狂言初編,書題簽: 「見通俄狂言初編」|刊年: 文化三年,滑稽本,,E22:776:474|A00:霞亭:474,東京大学総合図書館霞亭文庫目録474,文化三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5bc6ee51-35a8-4e05-b0c0-28fae11131f1.json,5bc6ee51-35a8-4e05-b0c0-28fae11131f1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/5bc6ee51-35a8-4e05-b0c0-28fae11131f1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/362e356d98e117bb7e6e705b39f6c93fed0eb501.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40043,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0474,1806,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5bc6ee51-35a8-4e05-b0c0-28fae11131f1/manifest,,,,,37
長門本忠臣蔵 / 石川清澄作,ながとぼんちゅうしんぐら,33丁 : 挿絵 ; 19cm,長門本忠臣藏,"刊記: 文化五年, 村田屋治良兵衞[ほか]",滑稽本,,E22:776:475|A00:霞亭:475,東京大学総合図書館霞亭文庫目録475,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/37ff9a29-98fe-4ae8-a544-3b9b1f0fd179.json,37ff9a29-98fe-4ae8-a544-3b9b1f0fd179,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/37ff9a29-98fe-4ae8-a544-3b9b1f0fd179,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f78184557365830542aa7b31a58b6c9d8f38cac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40044,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0475,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/37ff9a29-98fe-4ae8-a544-3b9b1f0fd179/manifest,,,,,36
楽屋雑談 / 七文舎鬼笑作,がくやぞうたん,2巻2冊 : 挿絵 ; 17cm,樂屋雜談|田舎芝居樂屋雜談,見返し: 「田舎芝居樂屋雜談」|刊記: 東都書物地本問屋・西村屋與八板|刊年: 文化六年,滑稽本,,E22:776:476|A00:霞亭:476,東京大学総合図書館霞亭文庫目録476,文化六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/95f54d2f-6c82-453b-be7e-df34eca49cbb.json,95f54d2f-6c82-453b-be7e-df34eca49cbb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/95f54d2f-6c82-453b-be7e-df34eca49cbb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd2145111af762b2aa5df0348c1ea4e28f2c6054.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40045,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0476,1809,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/95f54d2f-6c82-453b-be7e-df34eca49cbb/manifest,,,,,89
煙草二抄 / 山東京山作,たばこにしょう,42丁半 : 挿絵 ; 16cm,春宵一服煙草二抄,見返し: 「春宵一服煙草二抄 」|刊記: 江戸書肆・竹川藤兵衛[ほか]|刊年: 文化七年,滑稽本,,E22:776:477|A00:霞亭:477,東京大学総合図書館霞亭文庫目録477,文化七年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a64dc945-329d-44e9-9188-cc64da67a96f.json,a64dc945-329d-44e9-9188-cc64da67a96f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/a64dc945-329d-44e9-9188-cc64da67a96f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b195df86937f71950ce0e32ad0d3afa53d6d1467.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40046,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0477,1810,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a64dc945-329d-44e9-9188-cc64da67a96f/manifest,,,,,46
鄙通辞 / 棹歌亭真楫 (林国雄)作,いなかつうじ,43丁半 : 挿絵 ; 19cm,下愚方言鄙通辭,内題: 「下愚方言鄙通辭」|刊年: 文化七年,滑稽本,,E22:776:478|A00:霞亭:478,東京大学総合図書館霞亭文庫目録478,文化七年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/47ff2dda-0339-485b-8d75-eb69f386a21a.json,47ff2dda-0339-485b-8d75-eb69f386a21a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/47ff2dda-0339-485b-8d75-eb69f386a21a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4cac034d8e1445e63ecb7645290aa038c3d92a2b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40047,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0478,1810,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/47ff2dda-0339-485b-8d75-eb69f386a21a/manifest,,,,,46
旅芝居田舎正本 / 万寿亭正二作,たびしばいいなかのしょうほん,26丁 : 挿絵 ; 19cm,骨董新話旅芝居田舍正本,"原題簽: 「骨董新話旅芝居田舍正本」|刊記: 文化十一年, 東都書林・西村源六[ほか]板",滑稽本,,E22:776:479|A00:霞亭:479,東京大学総合図書館霞亭文庫目録479,文化十一年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f21f816c-0693-48e8-a703-b3b52b6852f0.json,f21f816c-0693-48e8-a703-b3b52b6852f0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/f21f816c-0693-48e8-a703-b3b52b6852f0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f04dac3056a696aeec75db1dbe96873b5729588e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40048,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0479,1814,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f21f816c-0693-48e8-a703-b3b52b6852f0/manifest,,,,,32
譜抜椙棒馬鹿多訳合鑑 / 東里山人作,ふぬけべらぼうばかたわけあわせかがみ,12丁 : 挿絵 ; 18cm,馬鹿多譯合鑑,書外題: 「馬鹿多譯合鑑」|刊年: 文化十二年,滑稽本,,E22:776:480|A00:霞亭:480,東京大学総合図書館霞亭文庫目録480,文化十二年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/76f91da0-aa5e-4f42-bdb9-8eb19d5acd2a.json,76f91da0-aa5e-4f42-bdb9-8eb19d5acd2a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/76f91da0-aa5e-4f42-bdb9-8eb19d5acd2a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/854c9dd93fce72022fe630e9a602bf545761ce7d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40049,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0480,1815,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/76f91da0-aa5e-4f42-bdb9-8eb19d5acd2a/manifest,,,,,15
本草盲目集 / 東西庵南北作,ほんぞうもうもくしゅう,15丁 : 挿絵 ; 19cm,本艸盲目集,"書題簽: 「本艸盲目集」|刊記: 文政二, 地本問屋・甘泉堂和泉屋市兵衞",滑稽本,,E22:776:481|A00:霞亭:481,東京大学総合図書館霞亭文庫目録481,文政二年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b3bb97f4-88e6-4a28-9294-92102887be87.json,b3bb97f4-88e6-4a28-9294-92102887be87,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/b3bb97f4-88e6-4a28-9294-92102887be87,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d0899158f9b25a7ca334b3c99eb406c6ceaded31.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40050,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0481,1819,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b3bb97f4-88e6-4a28-9294-92102887be87/manifest,,,,,18
茶番狂言早合点 / 式亭三馬作,ちゃばんきょうげんはやがてん,34丁 : 挿絵 ; 19cm,茶番狂言早合點,内題: 「茶番狂言早合點」|刊記: 江戸地本問屋・春松軒[ほか]|刊年: 文政四年,滑稽本,,E22:776:482|A00:霞亭:482,東京大学総合図書館霞亭文庫目録482,文政四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a4736c7b-fa30-45a6-b2cf-6eec591c53f1.json,a4736c7b-fa30-45a6-b2cf-6eec591c53f1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/a4736c7b-fa30-45a6-b2cf-6eec591c53f1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f00001c9e32e47b775a9af2c6707fbf367c9a54.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40051,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0482,1821,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a4736c7b-fa30-45a6-b2cf-6eec591c53f1/manifest,,,,,37
(花江戸三芝居)客者評判記 / 式亭三馬作,はなのえどさんしばいかくしゃひょうばんき,3巻3冊 : 挿絵 ; 13 x 20cm,客者評判記|三府戯場客者評判記,原題簽: 「三府戯場客者評判記」|刊年: 文政六年,滑稽本,,E22:776:483|A00:霞亭:483,東京大学総合図書館霞亭文庫目録483,文政六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f005bf14-5221-45af-a10b-a0aea404923c.json,f005bf14-5221-45af-a10b-a0aea404923c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/f005bf14-5221-45af-a10b-a0aea404923c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/af2e478a5c77ec5cef4fee48ec612f4aedfb8b4a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40052,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0483,1823,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f005bf14-5221-45af-a10b-a0aea404923c/manifest,,,,,95
初昔茶番出花 / 桜川一声作 ; 桜川慈悲成校,はつむかしちゃばんのでばな,19丁半 : 挿絵 ; 19cm,茶番の番組,上巻のみ|東都地本問屋・甘泉堂和泉屋市兵衞版|刊年: 天保四年,滑稽本,,E22:776:484|A00:霞亭:484,東京大学総合図書館霞亭文庫目録484,天保四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0e78cd78-cb9d-461c-b2f1-783508a0c302.json,0e78cd78-cb9d-461c-b2f1-783508a0c302,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/0e78cd78-cb9d-461c-b2f1-783508a0c302,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/045002d54b8ac6830283ff07a5c05a63f1011801.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40053,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0484,1833,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0e78cd78-cb9d-461c-b2f1-783508a0c302/manifest,,,,,22
街能噂 / 平亭銀鶏作,ちまたのうわさ,4巻4冊 : 挿絵 ; 18cm,浪花雜誌街廼噂,原題簽: 「浪花雜誌街廼噂」|書林・江戸・鶴屋喜右衞門[ほか]|刊年: 天保六年,滑稽本,,E22:776:485|A00:霞亭:485,東京大学総合図書館霞亭文庫目録485,天保六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a29a385-afd0-47af-bdcc-6323275abd1c.json,7a29a385-afd0-47af-bdcc-6323275abd1c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/7a29a385-afd0-47af-bdcc-6323275abd1c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/962fa51a3ece6057db753ace053b75dc0f0bab42.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40054,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0485,1835,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a29a385-afd0-47af-bdcc-6323275abd1c/manifest,,,,,139
(牛店雑談)安愚楽鍋初編 / 仮名垣魯文作,うしやぞうだんあぐらなべしょへん,26丁 : 挿絵 ; 19cm,牛店雜談安愚樂鍋初編,書林・京都・堺屋仁兵衞[ほか]|刊年: 明治四年,滑稽本,,E22:776:486|A00:霞亭:486,東京大学総合図書館霞亭文庫目録486,明治四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8567865d-b045-43f6-a61e-1ec06ca79449.json,8567865d-b045-43f6-a61e-1ec06ca79449,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/8567865d-b045-43f6-a61e-1ec06ca79449,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/639910006343be8026ec8da3f21af989f24092a4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40055,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0486,1871,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8567865d-b045-43f6-a61e-1ec06ca79449/manifest,,,,,29
口上茶ばん / 久嘉等,こうじょうちゃばん,19丁 : 挿絵 ; 23cm,,第二のみ,滑稽本,,E22:776:487|A00:霞亭:487,東京大学総合図書館霞亭文庫目録487,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/08bae5cf-ffcf-4a6f-b519-9d2849241dba.json,08bae5cf-ffcf-4a6f-b519-9d2849241dba,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/08bae5cf-ffcf-4a6f-b519-9d2849241dba,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eb49c7b020126d85b1a00193f5498fd9d56943cf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40056,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0487,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08bae5cf-ffcf-4a6f-b519-9d2849241dba/manifest,,,,,21
きのふハけふの物語,きのうはきょうのものがたり,2巻1冊 ; 19cm,,刊年: 寛永十三年,咄本,,E22:776:488|A00:霞亭:488,東京大学総合図書館霞亭文庫目録488,寛永十三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5adaadfa-6940-4c28-8a7a-af11f8249bf9.json,5adaadfa-6940-4c28-8a7a-af11f8249bf9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/5adaadfa-6940-4c28-8a7a-af11f8249bf9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/09baa263a1663ce0927e42485e2d1891cec49f7d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40057,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0488,1636,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5adaadfa-6940-4c28-8a7a-af11f8249bf9/manifest,,,,,100
狂歌咄 / 浅井了意作,きょうかばなし,4冊 : 挿絵 ; 27cm,繪入狂哥はなし|繪入きやうかはなし,"巻四欠|原題簽: 「繪入狂哥はなし」, 「繪入きやうかはなし」|刊記: 寛文十二年, 書林・鈴木權右衞門板",咄本,,E22:776:489|A00:霞亭:489,東京大学総合図書館霞亭文庫目録489,寛文十二年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a644a90-8a1e-40c1-b9e2-958a8034be3e.json,7a644a90-8a1e-40c1-b9e2-958a8034be3e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/7a644a90-8a1e-40c1-b9e2-958a8034be3e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/018327c8d162e4405ddfe7659309728703c8a3aa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40058,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0489,1672,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a644a90-8a1e-40c1-b9e2-958a8034be3e/manifest,,,,,95
杉楊枝 / 里木予一作,すぎようじ,6巻6冊 : 挿絵 ; 23cm,杉楊枝|一休和尚竹齋兩人咄,"原題簽: 「杉楊枝一休和尚竹齋兩人咄」(巻一)|刊記: 延寶八年, 江戸・林文蔵板行",咄本,,E22:776:490|A00:霞亭:490,東京大学総合図書館霞亭文庫目録490,延寶八年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f4ef8367-b80a-4b99-9b34-07133d403de8.json,f4ef8367-b80a-4b99-9b34-07133d403de8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/f4ef8367-b80a-4b99-9b34-07133d403de8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ada1db141a663bfb87615f87965e670a06ffef3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/40059,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0490,1680,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f4ef8367-b80a-4b99-9b34-07133d403de8/manifest,,,,,188
