タイトル,タイトル（ヨミ）,請求記号,刊行年月日（和暦）,刊行年（西暦）,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
諸㕝日記飛歌恵(ひかえ)(元治元年正月),ショジ ニッキ ヒカエ ゲンジ ガンネン ショウガツ,090:1:井24,元治元年正月,1864,井筒屋傳治郎 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f48af7a4-58be-a567-7799-9bca0eb9574e.json,f48af7a4-58be-a567-7799-9bca0eb9574e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/f48af7a4-58be-a567-7799-9bca0eb9574e,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90429b3ab568f0d1afa510df0efe5cfed1dcff50.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406751,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0024,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f48af7a4-58be-a567-7799-9bca0eb9574e/manifest,,,,,51
諸㕝飛歌恵(ひかえ)(元治元年8月~慶応元年1月),ショジ ヒカエ ゲンジ ガンネン 8ガツ ケイオウ ガンネン 1ガツ,090:1:井25,元治元年8月~慶応元年1月,1864-1865,井筒屋傳治郎 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5dc26043-6c44-a349-438d-2a9245738861.json,5dc26043-6c44-a349-438d-2a9245738861,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/5dc26043-6c44-a349-438d-2a9245738861,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aac5e3108ecda166b9ebc4f76c9841e678635eaa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406750,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0025,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5dc26043-6c44-a349-438d-2a9245738861/manifest,,,,,174
[諸事控帳](慶応2年4月~明治16年5月),ショジ ヒカエチョウ ケイオウ 2ネン 4ガツ メイジ 16ネン 5ガツ,090:1:井26,慶応2年4月~明治16年5月,1866-1883,書名は整理者による,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bcb74e82-1f04-68e3-6f31-0b24b16e0f1f.json,bcb74e82-1f04-68e3-6f31-0b24b16e0f1f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/bcb74e82-1f04-68e3-6f31-0b24b16e0f1f,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b4181c83899110de4e72d40390573a6f35c99ab1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406749,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0026,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bcb74e82-1f04-68e3-6f31-0b24b16e0f1f/manifest,,,,,29
日賀栄(慶応3年9月),ヒカエ ケイオウ 3ネン 9ガツ,090:1:井27,慶応3年9月,1867,竹 長□,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b17acf44-34ec-4120-4330-75d43fa710d5.json,b17acf44-34ec-4120-4330-75d43fa710d5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/b17acf44-34ec-4120-4330-75d43fa710d5,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21dfaa5ac9c91c8a9e791dc98d2ec44d47d59a9d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406748,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0027,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b17acf44-34ec-4120-4330-75d43fa710d5/manifest,,,,,9
諸㕝飛歌恵(ひかえ)(慶応2年正月),ショジ ヒカエ ケイオウ 2ネン ショウガツ,090:1:井28,慶応2年正月,1866,井筒屋傳治郎,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/03d1d19b-26b4-7e80-213c-8e698e3ba628.json,03d1d19b-26b4-7e80-213c-8e698e3ba628,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/03d1d19b-26b4-7e80-213c-8e698e3ba628,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4a8ade2e8eccacb19e3b671738fc33df17cbbaeb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406747,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0028,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/03d1d19b-26b4-7e80-213c-8e698e3ba628/manifest,,,,,150
日記帳(慶応3年7月~明治元年5月),ニッキチョウ ケイオウ 3ネン 7ガツ メイジ ガンネン 5ガツ,090:1:井29,慶応3年7月~明治元年5月,1867-1868,井筒屋傳治郎,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/df026d9b-39a7-072f-4442-e2f3caee9b3e.json,df026d9b-39a7-072f-4442-e2f3caee9b3e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/df026d9b-39a7-072f-4442-e2f3caee9b3e,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3dad33fc2482a4fa31ef245fe976f923b28a959.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406746,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0029,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/df026d9b-39a7-072f-4442-e2f3caee9b3e/manifest,,,,,110
諸㕝日賀恵(慶応4年[辰]五月吉日),ショジ ヒカエ ケイオウ 4ネン [タツ] ゴガツ キチジツ,090:1:井30,慶応4年[辰]五月吉日,1868,竹弥 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/499ffe1e-11b9-9fee-9e30-427ec8152f88.json,499ffe1e-11b9-9fee-9e30-427ec8152f88,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/499ffe1e-11b9-9fee-9e30-427ec8152f88,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa93f3414138009611c3b0c0fd943e38f250fac5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406745,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0030,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/499ffe1e-11b9-9fee-9e30-427ec8152f88/manifest,,,,,102
日記帳(明治2年巳正月吉日),ニッキチョウ メイジ 2ネン ミ ショウガツ キチジツ,090:1:井31,明治2年巳正月吉日,1869,竹弥貴鶴,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4febba10-8c3c-9213-3975-d1ae684a6207.json,4febba10-8c3c-9213-3975-d1ae684a6207,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/4febba10-8c3c-9213-3975-d1ae684a6207,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8f8606431b879e1ee85aaba6ed0ce54bb9a3319f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406744,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0031,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4febba10-8c3c-9213-3975-d1ae684a6207/manifest,,,,,156
諸㕝日賀恵(己巳明治2年3月吉日),ショジ ヒカエ ツチノトミ メイジ 2ネン 3ガツ キチジツ,090:1:井32,己巳明治2年3月吉日,1869,竹弥,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/583ef584-5923-4edf-9ad3-48ef2b941fd1.json,583ef584-5923-4edf-9ad3-48ef2b941fd1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/583ef584-5923-4edf-9ad3-48ef2b941fd1,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c7f79ebd9c996f1216de71ab7e0c87fdcc55ac43.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406743,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0032,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/583ef584-5923-4edf-9ad3-48ef2b941fd1/manifest,,,,,122
亭飛哥栄帳(明治2巳7月吉日),テヒカエチョウ メイジ 2 ミ 7ガツ キチジツ,090:1:井33,明治2巳7月吉日,1869,井筒傳,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/13cd9139-a22a-1f65-5ab4-4e50b345282c.json,13cd9139-a22a-1f65-5ab4-4e50b345282c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/13cd9139-a22a-1f65-5ab4-4e50b345282c,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f059d21a103e9a0d271a3f280c1ac0ec91e341f2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406742,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0033,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/13cd9139-a22a-1f65-5ab4-4e50b345282c/manifest,,,,,38
日記帳(明治3年午2月1日),ニッキチョウ メイジ 3ネン ウマ 2ガツ ツイタチ,090:1:井34,明治3年午2月1日,1870,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7d98c09c-2756-7302-179c-caf143243da0.json,7d98c09c-2756-7302-179c-caf143243da0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/7d98c09c-2756-7302-179c-caf143243da0,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6ae6f9372425be96456bbe30edc4d677b49007bb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406741,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0034,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7d98c09c-2756-7302-179c-caf143243da0/manifest,,,,,191
日記帳(明治4年未正月吉日),ニッキチョウ メイジ 4ネン ヒツジ ショウガツ キチジツ,090:1:井35,明治4年未正月吉日,1871,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dcff853f-0625-3acb-3e5a-af652eef68db.json,dcff853f-0625-3acb-3e5a-af652eef68db,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/dcff853f-0625-3acb-3e5a-af652eef68db,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ba115c4707b9d9bf2ce17fb8150a93266e231677.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406740,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0035,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dcff853f-0625-3acb-3e5a-af652eef68db/manifest,,,,,157
日記飛賀恵(明治4年未霜月~5年申1月),ニッキ ヒカエ メイジ 4ネン ヒツジ シモツキ 5ネン サル 1ガツ,090:1:井36,明治4年未霜月~5年申1月,1871,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a91ec873-5aa3-3643-5964-9c4887448463.json,a91ec873-5aa3-3643-5964-9c4887448463,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/a91ec873-5aa3-3643-5964-9c4887448463,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc32f092335750853f9b0aa5291c6e9b17ecd1ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406739,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0036,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a91ec873-5aa3-3643-5964-9c4887448463/manifest,,,,,154
日賀恵(明治5年申正月吉日),ヒカエ メイジ 5ネン サル ショウガツ キチジツ,090:1:井37,明治5年申正月吉日,1872,"竹廻舎弥□ 著者名""廻""の右下 小さいカタカナで「カ」と記載あり 挟み込み資料1葉を含む",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/edc66e68-5eed-3cdd-32dc-834cb1b660bf.json,edc66e68-5eed-3cdd-32dc-834cb1b660bf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/edc66e68-5eed-3cdd-32dc-834cb1b660bf,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9644130bb9171a090b68bf1d235e7f8196bfe426.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406738,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0037,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/edc66e68-5eed-3cdd-32dc-834cb1b660bf/manifest,,,,,36
日記蝶(明治5年[4月10日]申4月吉日),ニッキチョウ メイジ 5ネン 4ガツ トウカ サル 4ガツ キチジツ,090:1:井38,明治5年[4月10日]申4月吉日,1872,竹弥起多(きた),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cb79c195-07cf-0b0f-6540-f55787ff4f16.json,cb79c195-07cf-0b0f-6540-f55787ff4f16,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/cb79c195-07cf-0b0f-6540-f55787ff4f16,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0e5b1db93736f5affe950ae569527301c34df606.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406737,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0038,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cb79c195-07cf-0b0f-6540-f55787ff4f16/manifest,,,,,62
日記帳(明治5年申9月27日より同6年4月10日迠),ニッキチョウ メイジ 5ネン サル 9ガツ 27ニチ ヨリ ドウ 6ネン 4ガツ トウカ マデ,090:1:井39,明治5年申9月27日より同6年4月10日迠,1872-1873,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43b5766d-0823-4122-533a-5f2be7e30c87.json,43b5766d-0823-4122-533a-5f2be7e30c87,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/43b5766d-0823-4122-533a-5f2be7e30c87,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/03b7f5b0227074a3ad66c8ff99963c34a203a578.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406736,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0039,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/43b5766d-0823-4122-533a-5f2be7e30c87/manifest,,,,,97
日記帳(明治6年酉5[7]月吉日),ニッキチョウ メイジ 6ネン トリ 5 7ガツ キチジツ,090:1:井40,明治6年酉5[7]月吉日,1873,木谷貴□,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6214a23b-3c0c-3841-3b28-2e3dea8e88a1.json,6214a23b-3c0c-3841-3b28-2e3dea8e88a1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/6214a23b-3c0c-3841-3b28-2e3dea8e88a1,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c8d4994e61c3af61d76a0e1332d2cba80351fb41.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406735,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0040,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6214a23b-3c0c-3841-3b28-2e3dea8e88a1/manifest,,,,,98
東海道より成田参詣日記控(明治7年戌1月),トウカイドウ ヨリ ナリタ サンケイ ニッキ ヒカエ メイジ 7ネン イヌ 1ガツ,090:1:井41,明治7年戌1月,1874,竹弥,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/98e53fe6-0923-65d4-73db-939c3ded75fb.json,98e53fe6-0923-65d4-73db-939c3ded75fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/98e53fe6-0923-65d4-73db-939c3ded75fb,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b1b7cef0d0adac668fc44d5941a3200ea5c16029.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406734,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0041,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/98e53fe6-0923-65d4-73db-939c3ded75fb/manifest,,,,,83
日記帳(明治7年戌1月吉日),ニッキチョウ メイジ 7ネン イヌ 1ガツ キチジツ,090:1:井42,明治7年戌1月吉日,1874,竹乃家貴多,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8e01be9e-2f18-035d-64c3-961449360c80.json,8e01be9e-2f18-035d-64c3-961449360c80,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/8e01be9e-2f18-035d-64c3-961449360c80,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fadbc4335ec659938f11eb668f28de58ed83f390.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406733,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0042,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8e01be9e-2f18-035d-64c3-961449360c80/manifest,,,,,161
日記帳(明治7年戌12月朔日より8年亥1月),ニッキチョウ メイジ 7ネン イヌ 12ガツ ツイタチ ヨリ 8ネン イ 1ガツ,090:1:井43,明治7年戌12月朔日より8年亥1月,1874-1875,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5823382f-376e-60c9-9afc-c6be210628ae.json,5823382f-376e-60c9-9afc-c6be210628ae,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/5823382f-376e-60c9-9afc-c6be210628ae,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a1438b0f255e191cb074b210ec75aa79d70adb8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406732,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0043,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5823382f-376e-60c9-9afc-c6be210628ae/manifest,,,,,81
日記控(明治8年亥9月吉日),ニッキ ヒカエ メイジ 8ネン イ 9ガツ キチジツ,090:1:井44,明治8年亥9月吉日,1875,"木谷(喜)多 著者名""喜""の右下 小さいカタカナで「カ」と記載あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d3d1c3b4-4c30-228f-34b6-3f964aa6a449.json,d3d1c3b4-4c30-228f-34b6-3f964aa6a449,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/d3d1c3b4-4c30-228f-34b6-3f964aa6a449,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9466278458233f08e3d99e377f515e40ccc0ec47.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406731,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0044,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d3d1c3b4-4c30-228f-34b6-3f964aa6a449/manifest,,,,,102
日記控(明治9子5月吉日),ニッキ ヒカエ メイジ 9 ネ 5ガツ キチジツ,090:1:井45,明治9子5月吉日,1876,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/55a08286-1898-8e3e-3c05-42df55bf6961.json,55a08286-1898-8e3e-3c05-42df55bf6961,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/55a08286-1898-8e3e-3c05-42df55bf6961,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c1e1c580d3e7e5201dc9f7cd04fce46c9eb5c3c4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406730,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0045,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/55a08286-1898-8e3e-3c05-42df55bf6961/manifest,,,,,103
日記控(明治10年巳[丑]4月吉日),ニッキ ヒカエ メイジ 10ネン ミ ウシ 4ガツ キチジツ,090:1:井46,明治10年巳[丑]4月吉日,1877,木谷貴多,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0494662a-5410-6c1a-11c5-183cc2bf62a2.json,0494662a-5410-6c1a-11c5-183cc2bf62a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/0494662a-5410-6c1a-11c5-183cc2bf62a2,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/158a419f02592b5ca92487561d296f39655b54be.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406729,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0046,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0494662a-5410-6c1a-11c5-183cc2bf62a2/manifest,,,,,102
