タイトル	年月日	本文タイトル（原本）	巻頭目録タイトル（原本）	本文タイトル（標点本）	巻頭目録タイトル（標点本）	冊	巻	条	画像（開始コマ）	請求記号	類	目	影印本	標点本	Date Created	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	コレクション	IIIFマニフェストURI	ソート用項目	西暦	# of media
流民進入湖廣等處禁山寄籍幷捏詞具告問罪枷號充軍例	成化9.6.20	流民進入湖廣等處禁山寄籍幷捏詞具告問罪枷號充軍例	流民進入湖廣等處禁山寄籍幷捏詞具告問罪枷號充軍例	流民進入湖廣等處禁山寄籍竝捏詞具告問罪枷號充軍例	流民進入湖廣等處禁山寄籍竝捏詞具告問罪枷號充軍例	第3冊	卷12	第5條	0012-00015	A00:6290:3	戶部類	逃避差役	上-290上表	乙4-499(12-7)	1473-060-20	59d88779-ed97-4a2f-a912-b5d2c93f3482	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/59d88779-ed97-4a2f-a912-b5d2c93f3482	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101814/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99626	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/59d88779-ed97-4a2f-a912-b5d2c93f3482/manifest			5
荊襄流民潛住禁山充軍正犯枷號家小隨住例	成化9.9.18	荊襄流民潛住禁山充軍正犯枷號家小隨住例	荊襄流民潛住禁山充軍正犯枷號家小隨住例	荊襄流民潛住禁山充軍正犯枷號家小隨住例	荊襄流民潛住禁山充軍正犯枷號家小隨住例	第3冊	卷12	第6條	0012-00019	A00:6290:3	戶部類	逃避差役	上-292上表	乙4-502(12-8)	1473-090-18	6b2bace3-badf-4e74-a7e7-26c94102205b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/6b2bace3-badf-4e74-a7e7-26c94102205b	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103343/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99627	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6b2bace3-badf-4e74-a7e7-26c94102205b/manifest			5
曉諭在逃軍民囚匠等項依託勢要僧道人等潛住者許一月以裏首官着役當差若是貧難不能還鄕者査編京衞充軍止終本身子孫願繼者聽若違限不首者軍發邊衞充軍民發口外爲民窩住隣佑一體問罪例	成化13.11.22	曉諭在逃軍民囚匠等項依託勢要僧道人等潛住者許一月以裏首官着役當差若是貧難不能還鄕者査編京衞充軍止終本身子孫願繼者聽若違限不首者軍發邊衞充軍民發口外爲民窩住隣佑一體問罪例	曉諭在逃軍民囚匠等項依託勢要僧道人等潛者許一月以裏首官着役當差若是貧難不能還鄕者査編京衞充軍止終本身子孫願繼者聽若違限不首者軍發邊衞充軍民發口外爲民窩住鄰佑一體問罪例	曉諭在逃軍民囚匠等項依托勢要僧道人等潛住者許一月以裏首官着役當差若是貧難不能還鄕者査編京衞充軍止終本身子孫願繼者聽若違限不首者軍發邊衞充軍民發口外爲民窩住鄰佑一體問罪例	曉諭在逃軍民囚匠等項依托勢要僧道人等潛[住]者許一月以裏首官着役當差若是貧難不能還鄕者査編京衞充軍止終本身子孫願繼者聽若違限不首者軍發邊衞充軍民發口外爲民窩住鄰佑一體問罪例	第3冊	卷12	第7條	0012-00023	A00:6290:3	戶部類	逃避差役	上-294上表	乙4-506(12-9)	1477-110-22	7eac28bd-8327-4aa5-a446-7cbedae90221	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/7eac28bd-8327-4aa5-a446-7cbedae90221	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102886/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99628	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7eac28bd-8327-4aa5-a446-7cbedae90221/manifest			3
逃軍冒立民籍發極邊衞分里老窩住附近衞所充軍	成化18.3	逃軍冒立民籍發極邊衞分里老窩住附近衞所充軍	逃軍冒立民籍發極邊衞分里老窩住附近衞所充軍例	逃軍冒立民籍發極邊衞分里老窩住附近衞所充軍[例]	逃軍冒立民籍發極邊衞分里老窩住附近衞所充軍例	第3冊	卷12	第8條	0012-00025	A00:6290:3	戶部類	逃避差役	上-295上表	乙4-508(12-10)	1482-030-99	845069df-f1aa-4e70-85d1-a7f4cba222c1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/845069df-f1aa-4e70-85d1-a7f4cba222c1	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103833/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99629	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/845069df-f1aa-4e70-85d1-a7f4cba222c1/manifest			2
軍餘避重投充匠役等項	成化19.12.13	軍餘避重投充匠役等項	軍餘避重役充匠役等項	軍餘避重(役)[投]充匠役等項	軍餘避重(役)[投]充匠役等項	第3冊	卷12	第9條	0012-00027	A00:6290:3	戶部類	逃避差役	上-296上表	乙4-509(12-11)	1483-120-13	a0d88e6a-1b0d-4fce-ba73-008d0246bf2d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/a0d88e6a-1b0d-4fce-ba73-008d0246bf2d	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101099/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99630	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a0d88e6a-1b0d-4fce-ba73-008d0246bf2d/manifest			4
奏老引事	弘治1.9.14	奏老引事	なし	奏老引事	奏老引事	第3冊	卷12	第10條	0012-00030	A00:6290:3	戶部類	逃避差役	上-297下表	乙4-495(12-5)	1488-090-14	e58db559-bb9f-4b86-a572-6e0183abd2d2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/e58db559-bb9f-4b86-a572-6e0183abd2d2	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102961/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99631	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e58db559-bb9f-4b86-a572-6e0183abd2d2/manifest			2
定內外官員導從及京官回鄕不許引導幷責打吏民例	成化1.10.15	定內外官員導從及京官回鄕不許引導幷責打吏民例	定內外官員導從及京官回鄕不許引導幷貴打吏民例	定內外官員導從及京官回鄕不許引導竝責打吏民例	定內外官員導從及京官回鄕不許引導竝責打吏民例	第3冊	卷12	第1條	0012-00031	A00:6290:3	戶部類	私役部民夫匠	上-298上表	乙4-511(12-12)	1465-100-15	02ef0c74-d7be-4d39-8901-ace005f29649	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/02ef0c74-d7be-4d39-8901-ace005f29649	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103604/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99632	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/02ef0c74-d7be-4d39-8901-ace005f29649/manifest			3
辦事吏不許驅令跟隨轎馬扛臺食籮等項	成化23.11.7	辦事吏不許驅令跟隨轎馬扛臺食籮等項	辦事吏不許驅令跟隨轎馬扛臺食籮等項	辦事吏不許驅令跟隨轎馬扛擡食籮等項	辦事吏不許驅令跟隨轎馬扛臺食籮等項	第3冊	卷12	第2條	0012-00034	A00:6290:3	戶部類	私役部民夫匠	上-299上裏	乙4-513(12-13)	1487-110-07	a42d57f4-c0f3-4b2c-bfa1-72d985806114	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/a42d57f4-c0f3-4b2c-bfa1-72d985806114	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103483/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99633	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a42d57f4-c0f3-4b2c-bfa1-72d985806114/manifest			3
已分家財不許告爭賣絕田地不許告贖其有辱罵捏告勘問官者照刁徒處置例	成化5.10.8	已分家財不許告爭賣絕田地不許告贖其有辱罵捏告勘問官者照刁徒處置例	已分家產不許告朵賣絕田地不許告贖其有辱罵捏告勘問官者照刁徒處置例	已分家產不許告(雜)[爭]賣絕田地不許告贖其有辱罵捏告勘問官者照刁徒處置例	已分家產不許告(朵)[爭]賣絕田地不許告贖其有辱罵捏告勘問官者照刁徒處置例	第3冊	卷12	第1條	0012-00036	A00:6290:3	戶部類	別籍異財	上-300下表	乙4-515(12-14)	1469-100-08	083e0f87-da86-45a0-b807-ac46b7956917	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/083e0f87-da86-45a0-b807-ac46b7956917	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100964/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99634	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/083e0f87-da86-45a0-b807-ac46b7956917/manifest			3
分定家產重名者立案不行例	成化19.12.12	分定家產重名者立案不行例	分家產重告者立案不行例	分定家產重告者立案不行例	分[定]家產重告者立案不行例	第3冊	卷12	第2條	0012-00039	A00:6290:3	戶部類	別籍異財	上-302上表	乙4-517(12-15)	1483-120-12	5276da7f-0cda-4337-ba65-c29e62213ffc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5276da7f-0cda-4337-ba65-c29e62213ffc	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104214/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99635	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5276da7f-0cda-4337-ba65-c29e62213ffc/manifest			3
分過財產賣過田地不許重分贖取	弘治2.8.3	分過財產賣過田地不許重分贖取	分過家產賣過田地不許重分贖取	分過(財)[家]產賣過田地不許重分贖取	分過家產賣過田地不許重分贖取	第3冊	卷12	第3條	0012-00042	A00:6290:3	戶部類	別籍異財	上-303下表	乙4-519(12-16)	1489-080-03	514053ba-d761-4e00-b6d2-a30b872172a5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/514053ba-d761-4e00-b6d2-a30b872172a5	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104338/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99636	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/514053ba-d761-4e00-b6d2-a30b872172a5/manifest			2
撫恤孤老賑濟衣糧	成化3.8.2	撫恤孤老賑濟衣糧	撫恤老賑濟衣糧	撫恤孤老賑濟衣糧	撫恤[孤]老賑濟衣糧	第3冊	卷12	第1條	0012-00043	A00:6290:3	戶部類	收養孤老	上-304上表	乙4-520(12-17)	1467-080-02	f87ce3af-27bb-47c1-ac7e-70327769bafd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/f87ce3af-27bb-47c1-ac7e-70327769bafd	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102913/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99637	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f87ce3af-27bb-47c1-ac7e-70327769bafd/manifest			3
收養孤老賑濟飢民例	成化6.1.13	收養孤老賑濟飢民例	收養孤老賑恤飢民例	收養孤老賑(恤)濟饑民例	收養孤老賑(恤)[濟]饑民例	第3冊	卷12	第2條	0012-00046	A00:6290:3	戶部類	收養孤老	上-305下表	乙4-521(12-18)	1470-010-13	cc3587cf-3235-4386-9b96-59d8c57d7151	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/cc3587cf-3235-4386-9b96-59d8c57d7151	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101002/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99638	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cc3587cf-3235-4386-9b96-59d8c57d7151/manifest			3
申明存恤孤老	成化16.8.13	申明存恤孤老	申明存恤孤老	申明存恤孤老	申明存恤孤老	第3冊	卷12	第3條	0012-00049	A00:6290:3	戶部類	收養孤老	上-307上表	乙4-523(12-19)	1480-080-13	89efb7fb-c72a-486c-9bc7-d7db24697c93	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/89efb7fb-c72a-486c-9bc7-d7db24697c93	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100807/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99639	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/89efb7fb-c72a-486c-9bc7-d7db24697c93/manifest			3
巡城御史禁革養濟院奸弊幷定奪去留例	弘治1.4.18	巡城御史禁革養濟院奸弊幷定奪去留例	巡城御史禁革養濟院奸弊幷定奪去留例	巡城御史禁革養濟院奸弊竝定奪去留例	巡城御史禁革養濟院奸弊竝定奪去留例	第3冊	卷12	第4條	0012-00052	A00:6290:3	戶部類	收養孤老	上-308下表	乙4-525(12-20)	1488-040-18	ac707813-4c78-493a-a5ba-2862fabc23ab	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ac707813-4c78-493a-a5ba-2862fabc23ab	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101668/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99640	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac707813-4c78-493a-a5ba-2862fabc23ab/manifest			4
査勘屯田幷禁約勢豪占種例	成化1.3.23	査勘屯田幷禁約勢豪占種例	査勘屯田幷禁約勢豪占種例	査勘屯田竝禁約勢豪占種例	査勘屯田竝禁約勢豪佔種例	第3冊	卷13	第1條	0013-00006	A00:6290:3	戶部類	欺隱田糧	上-311下表	乙4-535(13-1)	1465-030-23	2f71ddd5-4688-4c5c-b7c5-93e4e41988e0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/2f71ddd5-4688-4c5c-b7c5-93e4e41988e0	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101017/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99641	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2f71ddd5-4688-4c5c-b7c5-93e4e41988e0/manifest			3
打捕蝗蝻	成化14.9.26	打捕蝗蝻	打捕蝗蝻	打捕蝗蝻	打捕蝗蝻	第3冊	卷13	第1條	0013-00009	A00:6290:3	戶部類	檢踏災傷田糧	上-313上表	乙4-537(13-2)	1478-090-26	2c2fd14f-fb90-4557-8177-a4f4e1b75b2f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/2c2fd14f-fb90-4557-8177-a4f4e1b75b2f	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101335/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99642	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2c2fd14f-fb90-4557-8177-a4f4e1b75b2f/manifest			2
遇災寬恤事例		遇災寬恤事例	遇災寬恤事例	遇災寬恤事例	遇災寬恤事例	第3冊	卷13	第2條	0013-00010	A00:6290:3	戶部類	檢踏災傷田糧	上-313下表	乙4-538(13-3)	9999-999-99	618e3f7f-d9b0-4754-8e3c-2a734873d36b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/618e3f7f-d9b0-4754-8e3c-2a734873d36b	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101198/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99643	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/618e3f7f-d9b0-4754-8e3c-2a734873d36b/manifest			3
禁約公侯等官奏討及強占軍民地土例	成化2.4.14	禁約公侯等官奏討及強占軍民地土例	禁約公侯等官奏討及強占軍民田土例	禁約公侯等官奏討及強佔軍民田土例	禁約公侯等官奏討及強佔軍民田土例	第3冊	卷13	第1條	0013-00012	A00:6290:3	戶部類	盜賣田宅	上-314下表	乙4-540(13-4)	1466-040-14	02bd80a9-04bc-451e-8a5a-76a785316e2f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/02bd80a9-04bc-451e-8a5a-76a785316e2f	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103089/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99644	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/02bd80a9-04bc-451e-8a5a-76a785316e2f/manifest			3
投獻王府幷勢要之家地土例	成化6.5.13	投獻王府幷勢要之家地土例	獻王府幷勢要之家地土例	投獻王府竝勢要之家地土例	[投]獻王府竝勢要之家地土例	第3冊	卷13	第2條	0013-00014	A00:6290:3	戶部類	盜賣田宅	上-315上裏	乙4-541(13-5)	1470-050-13	6bb4f9e8-ca58-4684-b940-004c1940dadf	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/6bb4f9e8-ca58-4684-b940-004c1940dadf	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102311/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99645	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6bb4f9e8-ca58-4684-b940-004c1940dadf/manifest			1
禁革皇親公侯文武大臣奏討田土例	成化15.10.22	禁革皇親公侯文武大臣奏討田土例	禁革	禁革皇親公侯文武大臣奏討田土例	禁革皇親公侯文武大臣奏討田土例	第3冊	卷13	第3條	0013-00014	A00:6290:3	戶部類	盜賣田宅	上-315下表	乙4-542(13-6)	1479-100-22	176718c1-85b9-486e-a011-c14de06f8c44	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/176718c1-85b9-486e-a011-c14de06f8c44	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103579/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99646	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/176718c1-85b9-486e-a011-c14de06f8c44/manifest			3
禁革寺觀田土投獻典賣與王府例	成化18.2.23	禁革寺觀田土投獻典賣與王府例	禁革寺觀田土投獻典賣王府例	禁革寺觀田土投獻典[賣]與王府例	禁革寺觀田土投獻典賣與王府例	第3冊	卷13	第4條	0013-00016	A00:6290:3	戶部類	盜賣田宅	上-316下表	乙4-543(13-7)	1482-020-23	d847a3a1-83cd-4745-8b52-e5f15d912200	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d847a3a1-83cd-4745-8b52-e5f15d912200	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103322/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99647	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d847a3a1-83cd-4745-8b52-e5f15d912200/manifest			3
申明禁約西山鑿石取煤	成化21.3.12	申明禁約西山鑿石取煤	申明禁約山西鑿石取煤等項	申明禁約西山鑿石取煤等項	申明禁約西山鑿石取煤等項	第3冊	卷13	第5條	0013-00018	A00:6290:3	戶部類	盜賣田宅	上-317上裏	乙4-545(13-8)	1485-030-12	9b4dd902-ae2a-405c-a9f0-9140dfb9cdf4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9b4dd902-ae2a-405c-a9f0-9140dfb9cdf4	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103607/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99648	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b4dd902-ae2a-405c-a9f0-9140dfb9cdf4/manifest			3
蘆溝河迤東及西山鑿石取煤等項枷號一月充軍	成化22.3	蘆溝河迤東及西山鑿石取煤等項枷號一月充軍	蘆溝河迤東及西山鑿石取煤等項枷號一月充軍	蘆溝河迤東及西山鑿石取煤等項枷號一月充軍	蘆溝河迤東及西山鑿石取煤等項枷號一月充軍	第3冊	卷13	第6條	0013-00020	A00:6290:3	戶部類	盜賣田宅	上-318上裏	乙4-547(13-9)	1486-030-99	fbfff671-b700-42ce-a798-1d1e00e49736	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/fbfff671-b700-42ce-a798-1d1e00e49736	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102120/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99649	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fbfff671-b700-42ce-a798-1d1e00e49736/manifest			1
聚眾竊礦初犯徑發充軍逃回者枷號三箇月滿日改發極邊	弘治1.11	聚眾竊礦初犯徑發充軍逃回者枷號三箇月滿日改發極邊	聚眾竊礦初犯徑發充軍逃回者枷號三箇月滿日改發極邊	聚眾竊礦初犯徑發充軍逃回者枷號三個月滿日改發極邊	聚眾竊礦初犯徑發充軍逃回者枷號三個月滿日改發極邊	第3冊	卷13	第7條	0013-00020	A00:6290:3	戶部類	盜賣田宅	上-318下表	乙4-547(13-10)	1488-110-99	ab44e912-c15e-47d1-8422-fb3066c3c497	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ab44e912-c15e-47d1-8422-fb3066c3c497	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101854/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99650	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ab44e912-c15e-47d1-8422-fb3066c3c497/manifest			2
